,UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
143,144,H29557,298.6,308.4,1407,50.5,164,No Failure
144,145,M15004,298.6,308.4,1391,42.4,169,No Failure
145,146,L47325,298.5,308.4,1513,33.6,172,No Failure
146,147,H29560,298.5,308.4,1612,36.1,174,No Failure
147,148,L47327,298.4,308.4,1515,40.1,179,No Failure
148,149,M15008,298.3,308.3,1379,48.0,181,No Failure
149,150,L47329,298.4,308.3,1473,39.9,184,No Failure
150,151,L47330,298.4,308.3,1422,42.7,186,No Failure
151,152,M15011,298.4,308.2,1463,37.6,188,No Failure
152,153,M15012,298.4,308.2,1584,41.0,191,No Failure
153,154,L47333,298.4,308.2,1850,27.0,194,No Failure
154,155,L47334,298.4,308.2,1528,36.2,196,No Failure
155,156,H29569,298.4,308.2,1987,19.8,198,No Failure
156,157,M15016,298.4,308.1,1495,46.0,203,No Failure
157,158,H29571,298.4,308.2,1478,43.5,206,No Failure
158,159,M15018,298.4,308.2,1499,40.0,211,No Failure
159,160,L47339,298.4,308.2,1471,47.0,214,No Failure
160,161,L47340,298.4,308.2,1282,60.7,216,Overstrain Failure
161,162,L47341,298.3,308.1,1412,52.3,218,Overstrain Failure
162,163,L47342,298.3,308.1,1586,35.5,0,No Failure
163,164,M15023,298.4,308.2,1468,43.8,2,No Failure
164,165,M15024,298.5,308.3,1440,43.6,5,No Failure
165,166,L47345,298.5,308.4,1733,26.0,8,No Failure
166,167,H29580,298.4,308.2,1612,32.6,10,No Failure
167,168,H29581,298.4,308.3,1458,42.9,15,No Failure
168,169,L47348,298.4,308.3,1433,62.3,20,Power Failure
169,170,L47349,298.4,308.3,1318,59.1,22,No Failure
170,171,M15030,298.4,308.2,1610,35.0,24,No Failure
171,172,L47351,298.2,308.1,1462,50.8,27,No Failure
172,173,M15032,298.1,308.0,1924,20.8,29,No Failure
173,174,M15033,298.2,308.0,1591,33.7,32,No Failure
174,175,L47354,298.2,308.1,1306,58.3,35,No Failure
175,176,L47355,298.2,308.1,1382,43.5,37,No Failure
176,177,L47356,298.2,308.1,1618,34.7,39,No Failure
177,178,L47357,298.2,308.2,1988,21.4,41,No Failure
178,179,L47358,298.2,308.2,1436,50.2,43,No Failure
179,180,L47359,298.2,308.3,1304,49.8,45,No Failure
180,181,L47360,298.2,308.3,1475,49.9,47,No Failure
181,182,H29595,298.2,308.3,1824,24.2,49,No Failure
182,183,M15042,298.1,308.2,1342,48.1,54,No Failure
183,184,L47363,298.1,308.2,1485,40.7,57,No Failure
184,185,L47364,298.2,308.2,1667,30.6,59,No Failure
185,186,L47365,298.2,308.2,1446,38.2,61,No Failure
186,187,L47366,298.1,308.3,1301,56.0,63,No Failure
187,188,L47367,298.2,308.4,1379,43.1,65,No Failure
188,189,L47368,298.3,308.5,1606,33.6,67,No Failure
189,190,M15049,298.3,308.4,1539,43.4,69,No Failure
190,191,L47370,298.2,308.4,1477,49.9,72,No Failure
191,192,L47371,298.2,308.4,1666,34.6,74,No Failure
192,193,H29606,298.2,308.4,1398,51.8,76,No Failure
193,194,H29607,298.2,308.4,1678,34.6,81,No Failure
194,195,M15054,298.2,308.5,2678,10.7,86,Power Failure
195,196,L47375,298.3,308.5,1453,42.9,89,No Failure
196,197,H29610,298.3,308.6,1432,49.5,91,No Failure
197,198,M15057,298.4,308.6,1527,40.9,96,No Failure
198,199,L47378,298.4,308.7,1588,35.0,99,No Failure
199,200,L47379,298.4,308.6,1433,47.1,101,No Failure
200,201,L47380,298.4,308.6,1609,35.0,103,No Failure
201,202,L47381,298.3,308.5,1575,41.2,105,No Failure
202,203,M15062,298.4,308.5,1636,35.7,107,No Failure
203,204,L47383,298.4,308.5,1490,37.9,110,No Failure
204,205,L47384,298.4,308.5,1741,32.8,112,No Failure
205,206,M15065,298.5,308.6,1344,53.0,114,No Failure
206,207,L47386,298.5,308.7,1609,35.3,117,No Failure
207,208,M15067,298.4,308.7,1421,60.7,119,Power Failure
208,209,L47388,298.4,308.6,1591,36.7,122,No Failure
209,210,L47389,298.4,308.6,1477,44.0,124,No Failure
210,211,L47390,298.4,308.7,1523,36.1,126,No Failure
211,212,L47391,298.5,308.7,1575,33.9,128,No Failure
212,213,H29626,298.4,308.7,1344,52.9,130,No Failure
213,214,L47393,298.4,308.7,1386,44.9,135,No Failure
214,215,M15074,298.3,308.6,1589,37.1,137,No Failure
215,216,L47395,298.3,308.6,1548,40.3,140,No Failure
216,217,L47396,298.3,308.6,1499,38.3,142,No Failure
217,218,L47397,298.3,308.5,1664,31.6,144,No Failure
218,219,L47398,298.3,308.6,1447,38.1,146,No Failure
219,220,M15079,298.3,308.5,1434,46.2,148,No Failure
220,221,L47400,298.3,308.5,1416,52.7,151,No Failure
221,222,H29635,298.4,308.5,1827,24.3,153,No Failure
222,223,L47402,298.4,308.6,1304,45.0,158,No Failure
223,224,L47403,298.4,308.6,1569,34.4,160,No Failure
224,225,L47404,298.3,308.6,1584,29.3,162,No Failure
225,226,L47405,298.3,308.5,1362,53.8,164,No Failure
226,227,L47406,298.3,308.4,1329,49.2,166,No Failure
227,228,L47407,298.3,308.5,1539,36.1,168,No Failure
228,229,M15088,298.3,308.5,1629,37.1,170,No Failure
229,230,L47409,298.3,308.5,1538,32.2,173,No Failure
230,231,L47410,298.3,308.6,1570,34.8,175,No Failure
231,232,L47411,298.3,308.4,1408,43.1,177,No Failure
232,233,L47412,298.2,308.4,1424,47.6,179,No Failure
233,234,L47413,298.2,308.4,1512,34.9,181,No Failure
234,235,L47414,298.2,308.4,1478,42.9,183,No Failure
235,236,M15095,298.1,308.3,1680,33.7,185,No Failure
236,237,L47416,298.1,308.3,1495,38.7,188,No Failure
237,238,M15097,298.0,308.1,1552,36.6,190,No Failure
238,239,L47418,297.9,308.1,1393,50.3,193,No Failure
239,240,L47419,298.0,308.2,1611,30.6,195,No Failure
240,241,M15100,298.0,308.1,1339,51.6,197,No Failure
241,242,L47421,298.0,308.1,1777,24.3,200,No Failure
242,243,L47422,298.0,308.2,1348,58.8,202,Overstrain Failure
243,244,L47423,298.0,308.2,1442,44.1,204,No Failure
244,245,M15104,298.0,308.2,1395,49.1,206,No Failure
245,246,M15105,297.9,308.1,1627,31.4,209,No Failure
246,247,L47426,297.9,308.1,1585,33.5,212,No Failure
247,248,L47427,298.0,308.2,1469,45.5,214,No Failure
248,249,L47428,298.0,308.3,1362,56.8,216,Overstrain Failure
249,250,L47429,298.0,308.3,1405,56.2,218,Overstrain Failure
250,251,L47430,298.0,308.3,1662,32.7,0,No Failure
251,252,M15111,298.0,308.2,1466,42.6,2,No Failure
252,253,L47432,298.0,308.2,1620,35.8,5,No Failure
253,254,L47433,298.0,308.2,1357,48.2,7,No Failure
254,255,L47434,298.0,308.2,1514,37.9,9,No Failure
255,256,L47435,298.0,308.2,1489,40.4,11,No Failure
256,257,L47436,298.1,308.3,1331,63.0,13,No Failure
257,258,L47437,298.0,308.0,1615,29.5,15,No Failure
258,259,L47438,298.1,308.2,1482,37.9,17,No Failure
259,260,M15119,298.1,308.2,1420,63.9,19,Power Failure
260,261,M15120,298.2,308.3,1522,49.1,22,No Failure
261,262,L47441,298.1,308.2,1654,32.1,25,No Failure
262,263,M15122,298.1,308.2,1736,26.8,27,No Failure
263,264,M15123,298.0,308.1,1587,32.3,30,No Failure
264,265,L47444,298.1,308.2,1390,47.5,33,No Failure
265,266,L47445,298.0,308.1,1454,37.1,35,No Failure
266,267,H29680,298.0,308.1,1440,43.7,37,No Failure
267,268,L47447,297.9,308.0,1954,21.1,42,No Failure
268,269,H29682,297.9,308.0,1800,24.8,44,No Failure
269,270,L47449,298.0,308.0,1524,37.0,49,No Failure
270,271,H29684,298.0,308.0,1520,39.6,51,No Failure
271,272,M15131,298.1,308.1,1452,40.8,56,No Failure
272,273,L47452,298.1,308.1,1484,40.4,59,No Failure
273,274,L47453,298.1,308.0,1426,46.0,61,No Failure
274,275,L47454,298.1,308.0,1652,28.5,63,No Failure
275,276,L47455,298.0,308.0,1401,54.7,65,No Failure
276,277,M15136,298.0,307.9,1750,26.6,67,No Failure
277,278,H29691,298.0,308.0,1479,50.7,70,No Failure
278,279,M15138,298.0,308.0,1620,29.4,75,No Failure
279,280,L47459,298.0,308.1,1819,23.4,78,No Failure
280,281,M15140,298.1,308.1,1456,43.7,80,No Failure
281,282,L47461,298.1,308.0,1626,36.5,83,No Failure
282,283,M15142,298.1,308.1,1390,49.8,85,No Failure
283,284,L47463,298.2,308.2,1469,43.0,88,No Failure
284,285,L47464,298.2,308.3,2051,19.2,90,No Failure
285,286,L47465,298.2,308.3,1568,36.0,92,No Failure
286,287,L47466,298.2,308.3,1589,33.2,94,No Failure
287,288,L47467,298.2,308.3,1805,31.6,96,No Failure
288,289,H29702,298.2,308.4,1385,42.2,98,No Failure
289,290,L47469,298.1,308.4,1436,46.7,103,No Failure
290,291,L47470,298.1,308.4,1438,45.6,105,No Failure
291,292,L47471,298.0,308.3,1473,42.6,107,No Failure
292,293,L47472,298.1,308.4,1335,40.2,109,No Failure
293,294,H29707,298.1,308.5,1392,44.8,111,No Failure
294,295,M15154,298.1,308.5,1372,51.1,116,No Failure
295,296,M15155,298.1,308.6,1716,30.7,119,No Failure
296,297,L47476,298.0,308.5,1395,46.2,122,No Failure
297,298,L47477,298.0,308.5,1713,25.3,124,No Failure
298,299,H29712,297.9,308.5,2129,18.7,126,No Failure
299,300,M15159,297.8,308.3,1567,35.6,131,No Failure
300,301,L47480,297.8,308.4,1622,38.3,134,No Failure
301,302,L47481,297.7,308.4,1740,27.1,136,No Failure
302,303,H29716,297.8,308.4,1512,35.1,138,No Failure
303,304,M15163,297.8,308.4,1479,43.5,143,No Failure
304,305,L47484,297.8,308.4,1737,27.5,146,No Failure
305,306,L47485,297.8,308.4,2129,19.2,148,No Failure
306,307,L47486,297.8,308.4,1374,47.1,150,No Failure
307,308,M15167,297.8,308.4,1579,36.6,152,No Failure
308,309,L47488,297.9,308.5,1305,47.2,155,No Failure
309,310,M15169,297.9,308.5,1449,40.8,157,No Failure
310,311,H29724,298.0,308.6,1526,41.8,160,No Failure
311,312,M15171,298.0,308.6,1453,44.1,165,No Failure
312,313,L47492,297.9,308.6,1468,36.0,168,No Failure
313,314,L47493,298.0,308.6,1313,50.8,170,No Failure
314,315,M15174,297.9,308.5,1300,53.0,172,No Failure
315,316,L47495,297.9,308.4,1646,40.6,175,No Failure
316,317,L47496,297.8,308.4,1714,33.2,177,No Failure
317,318,L47497,297.8,308.4,1685,28.4,179,No Failure
318,319,L47498,297.8,308.4,1512,39.9,181,No Failure
319,320,L47499,297.8,308.4,1612,32.1,183,No Failure
320,321,H29734,297.8,308.4,1550,38.2,185,No Failure
321,322,L47501,297.8,308.4,1518,32.5,190,No Failure
322,323,L47502,297.8,308.5,1448,40.0,192,No Failure
323,324,L47503,297.8,308.5,1561,46.3,194,No Failure
324,325,M15184,297.8,308.5,1488,41.9,196,No Failure
325,326,L47505,297.8,308.5,1699,27.8,199,No Failure
326,327,L47506,297.7,308.5,1501,41.4,201,No Failure
327,328,L47507,297.7,308.5,1373,56.7,203,Overstrain Failure
328,329,H29742,297.6,308.4,1703,31.4,205,No Failure
329,330,H29743,297.7,308.5,1720,29.9,210,No Failure
330,331,M15190,297.6,308.4,1398,41.9,215,No Failure
331,332,M15191,297.6,308.4,1391,51.9,218,No Failure
332,333,M15192,297.6,308.3,1538,40.2,0,No Failure
333,334,L47513,297.5,308.2,1647,31.3,3,No Failure
334,335,M15194,297.5,308.1,1469,44.8,5,No Failure
335,336,L47515,297.4,308.1,1749,25.9,8,No Failure
336,337,M15196,297.6,308.2,1995,20.5,10,No Failure
337,338,L47517,297.6,308.3,1742,27.7,13,No Failure
338,339,L47518,297.5,308.2,1563,38.2,15,No Failure
339,340,M15199,297.5,308.2,1713,32.2,17,No Failure
340,341,L47520,297.4,308.1,1474,39.4,20,No Failure
341,342,M15201,297.4,308.2,1530,32.6,22,No Failure
342,343,L47522,297.4,308.2,1471,46.5,25,No Failure
343,344,L47523,297.5,308.3,1388,48.6,27,No Failure
344,345,M15204,297.5,308.2,2448,13.8,29,No Failure
345,346,L47525,297.5,308.3,1585,32.9,32,No Failure
346,347,M15206,297.5,308.3,1459,45.2,34,No Failure
347,348,L47527,297.5,308.3,1544,40.8,37,No Failure
348,349,L47528,297.6,308.3,1617,31.7,39,No Failure
349,350,L47529,297.6,308.3,1595,34.3,41,No Failure
350,351,H29764,297.6,308.3,1400,44.3,43,No Failure
351,352,M15211,297.6,308.4,1611,31.0,48,No Failure
352,353,M15212,297.6,308.4,1507,46.0,51,No Failure
353,354,H29767,297.5,308.3,1674,30.0,54,No Failure
354,355,L47534,297.6,308.3,1658,34.3,59,No Failure
355,356,L47535,297.6,308.3,1623,36.9,61,No Failure
356,357,M15216,297.6,308.4,1398,48.9,63,No Failure
357,358,L47537,297.6,308.4,1517,34.2,66,No Failure
358,359,M15218,297.6,308.3,1467,36.7,68,No Failure
359,360,M15219,297.6,308.3,1567,34.6,71,No Failure
360,361,M15220,297.5,308.3,1521,38.2,74,No Failure
361,362,L47541,297.5,308.3,1596,36.8,77,No Failure
362,363,H29776,297.6,308.3,1640,30.9,79,No Failure
363,364,L47543,297.6,308.3,1438,47.8,84,No Failure
364,365,L47544,297.6,308.4,1407,55.2,86,No Failure
365,366,L47545,297.6,308.4,1353,57.5,88,No Failure
366,367,M15226,297.6,308.5,1552,40.9,90,No Failure
367,368,M15227,297.6,308.4,1569,38.3,93,No Failure
368,369,L47548,297.5,308.4,1489,39.5,96,No Failure
369,370,H29783,297.5,308.4,1587,36.1,98,No Failure
370,371,M15230,297.5,308.3,1622,37.2,103,No Failure
371,372,L47551,297.5,308.4,1604,38.1,106,No Failure
372,373,M15232,297.4,308.3,1405,51.7,108,No Failure
373,374,L47553,297.4,308.3,1412,42.0,111,No Failure
374,375,L47554,297.4,308.3,1431,43.0,113,No Failure
375,376,L47555,297.4,308.2,1533,37.4,115,No Failure
376,377,M15236,297.4,308.2,1401,51.9,117,No Failure
377,378,M15237,297.4,308.2,1424,53.9,120,No Failure
378,379,L47558,297.3,308.2,1754,29.4,123,No Failure
379,380,L47559,297.3,308.2,1754,26.8,125,No Failure
380,381,L47560,297.5,308.3,2564,12.8,127,Power Failure
381,382,L47561,297.5,308.5,1546,40.4,129,No Failure
382,383,L47562,297.5,308.5,1335,48.0,131,No Failure
383,384,M15243,297.5,308.6,1842,27.0,133,No Failure
384,385,L47564,297.5,308.5,1712,26.8,136,No Failure
385,386,M15245,297.6,308.6,1414,45.4,138,No Failure
386,387,L47566,297.6,308.7,1319,50.9,141,No Failure
387,388,L47567,297.7,308.7,1249,60.4,143,No Failure
388,389,L47568,297.6,308.7,1455,48.2,145,No Failure
389,390,M15249,297.6,308.7,1408,54.8,147,No Failure
390,391,L47570,297.6,308.7,1460,46.7,150,No Failure
391,392,L47571,297.6,308.6,1491,38.1,152,No Failure
392,393,M15252,297.6,308.5,1490,43.4,154,No Failure
393,394,M15253,297.5,308.4,1350,52.2,157,No Failure
394,395,L47574,297.5,308.4,1528,39.9,160,No Failure
395,396,L47575,297.4,308.3,1571,37.7,162,No Failure
396,397,L47576,297.4,308.3,1490,42.6,164,No Failure
397,398,M15257,297.4,308.3,1774,28.9,166,No Failure
398,399,H29812,297.4,308.3,1502,43.6,169,No Failure
399,400,L47579,297.4,308.4,1392,49.7,174,No Failure
400,401,L47580,297.4,308.5,2100,16.9,176,No Failure
401,402,L47581,297.5,308.5,1722,30.4,178,No Failure
402,403,L47582,297.4,308.6,1678,32.3,180,No Failure
403,404,L47583,297.3,308.6,1273,59.8,182,No Failure
404,405,L47584,297.3,308.6,1297,45.9,184,No Failure
405,406,L47585,297.3,308.5,1350,57.6,186,No Failure
406,407,L47586,297.4,308.6,1439,51.9,188,No Failure
407,408,M15267,297.4,308.5,1600,42.1,190,No Failure
408,409,M15268,297.4,308.6,1434,44.4,193,No Failure
409,410,L47589,297.4,308.6,1459,41.3,196,No Failure
410,411,M15270,297.5,308.6,1472,44.9,198,No Failure
411,412,L47591,297.5,308.7,1429,44.3,201,No Failure
412,413,L47592,297.5,308.6,1388,48.2,203,No Failure
413,414,L47593,297.4,308.4,1573,34.5,205,No Failure
414,415,L47594,297.4,308.4,1588,32.5,207,No Failure
415,416,L47595,297.5,308.4,1511,42.8,209,No Failure
416,417,L47596,297.4,308.5,1495,37.8,211,No Failure
417,418,L47597,297.4,308.4,1394,50.1,213,No Failure
418,419,L47598,297.4,308.4,2151,17.7,0,No Failure
419,420,M15279,297.3,308.3,1501,38.2,2,No Failure
420,421,M15280,297.3,308.3,1301,39.6,5,No Failure
421,422,M15281,297.3,308.3,1657,31.1,8,No Failure
422,423,L47602,297.3,308.3,1333,55.2,11,No Failure
423,424,L47603,297.3,308.3,1484,43.9,13,No Failure
424,425,L47604,297.3,308.4,1430,45.7,15,No Failure
425,426,M15285,297.3,308.4,1665,28.9,17,No Failure
426,427,L47606,297.4,308.5,1501,44.9,20,No Failure
427,428,M15287,297.5,308.5,1496,42.2,22,No Failure
428,429,M15288,297.6,308.6,1595,36.9,25,No Failure
429,430,L47609,297.5,308.6,1208,62.3,28,No Failure
430,431,L47610,297.5,308.6,1596,37.1,30,No Failure
431,432,L47611,297.5,308.5,1446,41.9,32,No Failure
432,433,M15292,297.6,308.5,1466,39.7,34,No Failure
433,434,M15293,297.6,308.5,1848,23.7,37,No Failure
434,435,M15294,297.5,308.5,1484,44.7,40,No Failure
435,436,L47615,297.4,308.3,1493,41.2,43,No Failure
436,437,L47616,297.3,308.3,1504,36.3,45,No Failure
437,438,L47617,297.3,308.3,1538,38.5,47,No Failure
438,439,L47618,297.4,308.4,1341,52.2,49,No Failure
439,440,M15299,297.4,308.3,1535,34.6,51,No Failure
440,441,L47620,297.4,308.5,1389,39.2,54,No Failure
441,442,H29855,297.5,308.5,1393,46.6,56,No Failure
442,443,L47622,297.4,308.5,1399,61.5,61,Power Failure
443,444,H29857,297.4,308.5,1469,45.1,63,No Failure
444,445,L47624,297.4,308.4,1582,37.2,68,No Failure
445,446,L47625,297.5,308.6,1793,26.7,70,No Failure
446,447,L47626,297.5,308.6,1452,39.0,72,No Failure
447,448,M15307,297.6,308.7,1376,59.9,74,No Failure
448,449,L47628,297.5,308.6,1552,44.9,77,No Failure
449,450,L47629,297.6,308.7,1622,37.9,79,No Failure
450,451,M15310,297.6,308.7,1419,41.7,81,No Failure
451,452,H29865,297.5,308.6,1440,46.1,84,No Failure
452,453,M15312,297.4,308.6,1643,31.0,89,No Failure
453,454,L47633,297.4,308.7,1510,36.2,92,No Failure
454,455,L47634,297.4,308.7,1468,46.6,94,No Failure
455,456,L47635,297.4,308.7,1429,57.4,96,No Failure
456,457,H29870,297.3,308.7,1478,47.6,98,No Failure
457,458,L47637,297.4,308.6,1276,53.6,103,No Failure
458,459,L47638,297.3,308.6,1486,42.6,105,No Failure
459,460,L47639,297.4,308.6,1476,42.3,107,No Failure
460,461,H29874,297.3,308.6,1431,42.0,109,No Failure
