,text,label
15,"Bormioli Rocco Dedalo 26-1/3-Ounce Decanter with Stopper Package Type:Standard Packaging   The fine tradition of the Bormioli Rocco Group coincides with the very history of glass: the first glassworks was established in Parma in 1825. The company has always demonstrated a great drive to pioneer innovation: in machinery, materials and design. Over the years it has developed a special talent, that of combining time-honoured craftsmanship and the passion of master glassmakers with modern industrial processes. Bormioli Rocco is the leading company in its sector in Italy and a great ambassador of the Made in Italy label on international markets",Household
16,"Skillmatics Educational Game: Brain Games, 6-99 Years, Multi Color",Books
17,"Theatre in Pieces: Politics, Poetics and Interdisciplinary Collaboration: An Anthology of Play Texts (1966-2010) (Performance Books) About the Author Anna Furse is an award-winning theatre director and is the director of the MA in Performance Making at Goldsmiths and the curator of the Performance Research Forum. Her staged work includes both new writing and classics, and a range of devised works as well as her own commissioned writing and creations, which have received several Arts Council Writers Awards and Bursaries.",Books
18,"Maniac Women's Fleece Sweatshirt Step out with friends on a chilly evening, make sure you look your stylish best wearing this blue coloured sweatshirt from Maniac. Besides being visually appealing, this slim-fit sweatshirt is comfortable and warm too, courtesy its cotton fabric.",Clothing & Accessories
19,"Crompton LDRR22-CDL Radiance Ray 22-Watt LED Batten (Cool Day Light) Style:Pack of 1   Shock proof, instant flicker free start glare free illumination, 90 percent energy saver, modern design and uniform distribution of light.",Household
20,"Geeta Laxmi Women's High Waist Lace Fishnet Lingerie Stockings (Black, Free size) - Pack of 2 High waist suspender fishnet stockings one size fits ( XS S M ), pair up well with western dresses. Hollowed out stretchy fishnet stripe with floral pattern on knee hold up well, full length to toe durable for multiple washes so will go long.",Clothing & Accessories
21,"PRO365® Night Auto ON/Off Sensor Mushroom Lamp Multi Color Beautiful Illumination with Flowers PRO365 Night Auto Sensor Multicolor Mushroom Lamp is sold only and exclusively by PRO365, it is a registered brand in 13 different classes. Other sellers will attract infringement notices.This night lamp is ideal for everyone as lights automatically in dark conditions. You just need to keep it plugged in and turn on switch. The light illuminates in different colors making your night a special one indeed. Our customers have loved its modern and interesting design as it comes with artificial flowers as well which you will not find in other similar products. There are 3 Led's and you can adjust their position as well as the wiring is adjustable. Surprise your loved ones with this night lamp. Happy Shopping.",Household
22,"Tamron A17E AF 70-300mm F/4-5.6 Di LD Macro Telephoto Zoom Lens with Hood for Canon DSLR Camera (Black) Tamron AF-70-300mm f/4-5.6 Di LD Macro 1:2 Zoom Lens for Canon Digital SLR Camera (A17E). Product Features:Compatible with Canon EF camera models. Focal length of 70-300mm and maximum aperture of F4.0-5.6. 9 diaphragm blade number, 9 groups, 13 elements lens construction. Picture takers eager to bring distant sports or wildlife subjects closer, as well as bringing tiny, close range subjects into clear focus will appreciate the standout macro function. Available at focal lengths between 180 and 300mm. Comes with 0.95mt filter and no image stabilization. Note: The 70-300mm is available with a built-in motor for the Nikon D40, D40X and D60 (Model A17NII) from aproximately February 2008. The A17N model which had been available up until February 2008 is only compatible with the D40/D40X/D60 in the MF mode due to the fact it doesn´t have a built-in motor",Electronics
23,"Dynatech PSC 224 High Precision Stereo 3-way crossover with Subwoofer Output Size:PSC 224   High-Precision Stereo 2-Way/Mono 3-Way Crossover with Subwoofer Output Professional stereo 2-way/mono 3-way crossover featuring state-of-the-art Linkwitz-Riley filters with 24 dB/octave Additional subwoofer output with independent Frequency control Absolutely flat summed amplitude response, zero phase difference Individual output Gain controls for all bands Switchable 40 Hz Low cut filter on each input for low-frequency driver protection Servo-balanced and gold-plated XLR connectors for all inputs and outputs Ultra-high precision potentiometers for ultimate accuracy and repeatability Illuminated switches for secure operation in dark stage environments Shielded toroidal mains transformer for minimal noise interference High-quality components and exceptionally rugged construction ensure long life The PSC-234 2-way stereo/3-way mono crossover features absolute precision, state-of-the-art circuitry, with superior-grade components, ultra low-noise op amps and balanced inputs and outputs. Additionally, the PSC-234 provides an independently adjustable subwoofer output, effectively providing an extra low-frequency band, which is adjustable from 10 Hz to 235 Hz. Sound Quality When a sound system is tuned properly, it becomes powerful, balanced and efficient. Bass content is punchy and tight, with vocals and instruments that are rich, crisp and well defined. The PSC-234 crossover's accurate signal processing protects critical loudspeaker components and improves overall system efficiency. What's a Crossover? Chances are if you're reading this, you already know what a crossover is and you know that you need one. But if you are new to multi-way PA systems, here is a brief overview. Loudspeakers (which we call transducers) convert electrical signals into sound waves. And no matter how well a transducer is designed and made, it simply cannot reproduce the entire audio spectrum all by itself.",Electronics
24,M P Jain Indian Constitutional Law ,Books
25,"Philips BHS386 Kera Shine Straightener (Purple) This Philips hair straightener is specially designed for Indian hair. With SilkPro Care technology and advanced keratin ceramic coating, plates smoother than silk resulting in less heat exposure and minimal friction. 2 professional styling temperatures designed for salon result with extra care and control.",Electronics
26,Colour with Crayons - Part 1 ,Books
27,Go Hooked Digital Printed Wooden Designer Key Holder MDF based key holder with Digital Print Matte Laminated and metal keys folded to be used as hooks. This can be pasted onto the wall using the 2 sided tape already installed or hanged using the hooks provided separately in the package.,Household
28,HYNIX 1gb ddr 1 1gb ddr1 ram 400mhz,Electronics
29,"Clasiko 6 Seater PVC Table Cover; Brown & Orange Flowers; Anti Slip; 60x90 Inches; 6 Seater Clasiko a new brand introduced by well reneowed brand The Home Story. Clasiko will deal in complete range of home furnishings products. The range introduced by Clasiko is all designer and custom made. The fabrics, prints and combinations includes contemporary, modern and traditional. Apart from elegant crockery and dinner sets, a beautiful table cover also adds to the liveliness and beauty of your table arrangement. The PVC sheet used is 28mm thick which make this table covering anti slip. This 6 seater dining table cover is easy to clean. First remove all the left over food with a dry cloth, after that clean the surface of table cover with a wet cloth. This will clean the dining cloth sheet leaving no stains on it. The table cloth offered by Clasiko comes in various color prints which will constract to all furniture shades. The size of the table cover is 60 x 90 inches which will fit tables of 6 seater. There is a huge variety to be chosen doing justice with everyone's choice and taste. Grab your piece of table cover fast before the stock runs out. Happy Shopping.",Household
30,"LA Girl Pro Conceal, Orange Corrector, 8g Crease resistant, opaque coverage in a creamy yet lightweight texture. The long wearing formula camouflages darkness under the eyes, redness and skin imperfections. This bendable and buildable formula provides the ultimate, customizable coverage. This must have concealer includes a soft brush tip for easy application. Provides complete, natural looking coverage, evens skin tone, covers dark circles and minimizes fine lines around the eyes. Camouflages the appearance of skin imperfections evens out skin tone, covers dark circles, minimizes fine lines, provides customizable coverage.",Household
31,"Bhavya enterprises Aluminium ICE Crusher Electric (300 W, Silver) ICE CRUSHER with STAINLESS steel ice collecting plate with motor of 300 watts",Household
32,AmazonBasics 14-Gauge Speaker wire - 50 feet,Electronics
33,"ExclusiveLane Wooden Engraved Handheld Mirror From""Royal Queen Collection"" - For Gift/Home Décor/Vanity Mirrors Decorative Mirrors Vanity Mirrors Console Mirrors Hand Mirrors Mirrorsive Mirrors Color:Brown   Skilfully handcrafted and handpainted in metal by craftspeople from the interiors of India, ‘Breezy Chiming’ is a hanging windcharm that captures the beauty of nature’s melodious treats in the form of an aesthetic homedecor product. The simple composition of five twirling ethnic metal bells brings the soft essence of windy music when the bells clinker with passing winds, tuning feel good rustic rhythms that liven up any space. The detailed multicoloured handpainting on the bells in bright reds, yellows and greens, complemented with beautiful patterns is completed by stringing them together with beads. Handcrafted with love, this ethnic wind charm is an art piece that also doubles up as a feel good artistic product for your favourite spaces.",Household
34,"BlueRigger Digital Optical Audio Toslink Cable (3 Feet / 0.9 Meter) Size name:3 Feet / 0.9 Meter   The BlueRigger Toslink optical audio connection carries a digital audio stream using a fiber-optic cable. It is perfect for connecting your audio devices such as CD/DVD players to a receiver, preamplifier or audio processor Home-Theater Application  Toslink cable allows enjoyment of movies with Dolby Digital and DTS surround sound. It helps connect audio components such as CD/DVD player, digital satellite and more to your home/audio theater system, preamplifier, receiver, audio processors and digital-to-analog converters (DACs). Optical fiber & precision-polished optical connectors provides crystal clear sound.  Note: Please Remove Protective Rubber Tips Prior to Installation. Construction - The Lightweight and flexible BlueRigger Toslink cable is made of up of a durable PVC outer layer - It has gold-plated connectors that resist corrosion and offer optimal signal transfer and - It uses an optical fiber cable  The fiber-optic cable prevents electromagnetic and radio frequency noise leaving you with greater sonic accuracy and a more detailed, natural sound unlike an electrical cable.  Lengths BlueRigger Toslink cables are available in 3ft,6ft,10ft, 15ft, 25ft and 50ft lengths.  Warranty All BlueRigger Toslink cables are backed by a Limited Lifetime warranty. Please contact us via email if you have any questions.",Electronics
35,"Clovia Women's Saree Shapewear The saree shapewear is designed with a targeted compression to smoothen out and flatter your abdomen, thighs and back, making you look slimmer. Featuring a seamless waistband that is strong enough to to hold the saree tucks. A side slit on the hemline for an easy movement. Unlike other available saree shape wears, the slits are thoughtfully designed and do not curve outwards giving any undesirable perky shapes at the bottom. Crafted with 90% nylon and 10% spandex to retain its shape. Can be worn instead of a petticoat or under the petticoat. Anti chafing thigh band.",Clothing & Accessories
36,"Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient and the Past-life Therapy That Changed Both Their Lives Review A gripping love story that transcends time... this book makes you truly believe that we all really do have soulmates, and that ""only love is real"".A fascinating story that will open your mind. Explore the mystery, wisdom and wonder of life and love. 				    	 					 Book Description The classic bestseller on a true case of past-life trauma and past-life therapy from author and psychotherapist Dr Brian Weiss 				    	 					              See all Product description",Books
37,Verbal & Non-Verbal Reasoning for Competitive Exams - SSC/Banking/Rlwys/Insurance/MBA/BBA/CLAT/AFCAT ,Books
38,Iris Apple Cinnamon Fragrance Potpourri (100gm) Potpourri is a mixture of dried plant material that emits a gentle fragrance. Put them in a bowl and savour the fragrance as it permeates across the room.,Household
39,"Marina Multi Tool Large The marina multi-tool helps keep the interior of your aquarium neat and well manicured without getting your hands wet. It comes complete with interchangeable parts. Simply grasp the hand grip and squeeze to control the snip and grip or maintenance head at the other end. The snip and grip head cuts and removes plant leaves in one easy step. The maintenance head allows you to place or move decorations, remove debris and place tablet fertilizers at plant root zone without uprooting plants. The marina multi-tool is the perfect accessory to help you keep up with maintenance of your aquarium.",Household
40,"The Blazze Outdoor Seamless Bandanas Tube,Womens and Mens Headband Headwear Headwrap (Black) Headwear is made of Breathable 100% Polyester (Microfiber) fabric; Quick Drying, Sweat Wicking and Super Soft Tubular shape with 19＂ x 9.5＂(L x W) Completely seamless with elastic properties No sewn edges to irritate your skin UV PROTECTION: Ultraviolet protection that helps avoid dangerous UV radiation when in direct sunlight HIGHLY VERSATILE: Use as a headband for running DRIES QUICKLY: Due to the breathable Microfiber fabric the headwear is fast drying and comfortable on your skin",Clothing & Accessories
41,"ERRORLESS BIOLOGY NEET & AIIMS (Set of 2 Volumes), NTA 2019 New Errorless Biology NEET and AIIMS (Set of 2 Volumes), NTA 2019, Universal Self Scorer Objective Book Universal Errorless Biology (NEET / AIIMS ) is an unparalleled prep book for medical aspirants. Based on the syllabus and exam pattern defined by National Testing Agency (NTA). The book comprises of a comprehensive set of question and answers based on current trends in the NEET & AIIMS and other Medical Exams.",Books
42,"GIZGA 2.5"" Hard Drive Case Self Tattoo Semi Hard Shell (Navy Blue) Colour:blue   GIZGA BRANDED 2.5 inch External Portable Hard Disk Drive Carry Cover Protector/ Pouch / Bag/ Case: Why buy GIZGA brand of 2.5 inch External Portable Hard Disk Drive Carry Cover Protector/ Pouch / Bag/ Case? ""GIZGA"" manufactures after market replacement Batteries/ Chargers/ Laptop/ External Storage Accessories and world of other Laptop Accessories for all major branded Laptop Notebooks. Protect your portable hard Disk drive, store your necessary USB cords, Pen-Drives and never lose a single byte of your precious data. All GIZGA products are manufactured in ISO 9001:2008, ROHS, CE, FCE certified facility to ensure the best for our customers. Best in its class product. All Gizga Brand products are backed with good build quality and aesthetic appeal. All Gizga IT Products come with 1 Year Warranty on manufacturing defects and failure to perform. Note: Hard Drive Shown in the picture is for illustration and is not included. Compatible with all the 2.5 Inch Hard Disk Drives of all major brands including WD, Seagate, Sony, Transcend, ADATA, Hitachi, Toshiba, Dell, Lenovo, HP and other 2.5 inch Hard Drive Disk.",Electronics
43,"SCHARF Monte Berlin- The Whole Nine Fence Genuine Leather 15.6"" Expandable Laptop CarryCase AMB53BR",Electronics
44,"Amazon Brand - Solimo Hard Anodized Sauce Pan, 16cm/ 1.5L, (Induction and Gas Compatible), Black Size:16 Centimeters   The Solimo hard anodized sauce pan is designed to deliver premium quality and great value to you. This induction compatible sauce pan comes with a 2 Year warranty and is strong & long-lasting due to the 3.25 mm thick body. Use the sauce pan to cook sauce, boil milk or water, boiling vegetables and cooking grains or pasta. The bakelite handle allows you to allows you to maneuver the hot pan easily. The pouring notches on both sides of the handle make it easy to pour liquids from the sauce pan. The Solimo hard anodized sauce pan is perfect for busy cooks who seek durable performance in the kitchen, every day.",Household
45,Rupa Thermocot Men's Cotton Thermal Set,Clothing & Accessories
46,"MBTC Essilor PU 360° Height Adjustable Kitchen /Office / Bar Stool In Black Color:Black   This beautiful bar stool chair is sure to be the envy of all your friends. The chrome steel base and footrest work in harmony with a hydraulic piston for smooth adjustments which is a little reminiscent of a carousel pony pole, while the supple feeling of leather like graces the seat and back for comfort. The contemporary brown faux leather covering for years of wear and easy care. It must be a fashionable statement for your bar or conversation table.",Household
47,Principles & Practice Of Nursing Management & Administration For Bsc & Msc Nursing: For B.Sc and M.Sc Nursing Principles & Practice Of Nursing Management & Administration For Bsc & Msc Nursing,Books
48,"APC BE800-IND 12AH Builtin UPS (Black) Product description APC UPS is the best UPS in the Industry which comes with 2 years onsite warranty  including battery. In case of failures within 30 days of purchase buyer will get the  brand new unit from APC as replacement. 				    	 					 From the Manufacturer  Micro-processor Controlled Battery and LED Status Indicator Prevent your computer from damage during power fluctuations and cut offs with the APC BE800 UPS. It features Power Conditioning and Adjustable Voltage Sensitivity that protects your sensitive electronic equipments from sudden voltage spikes. You can change its batteries with relative ease and without tools reducing the average repair time. It facilitates temporary battery backup even when the power is out with its Cold-start feature. This APC UPS features a distinct LED status indicator that displays power and unit details for easy understanding.Diagnostics, Audible Alarm and Efficiency The APC-BE800 UPS has an admirable Automatic Self-test feature that ensures detection of battery fault, if any, and prompts for replacement. Its audible alarms alert on UPS power status and fluctuating voltage conditions. On return of utility power, the APC UPS system shuts down and starts up the connected electronic equipment automatically. You don't have to worry about the overload issues, as its intelligent resettable circuit breakers restores the system instantly. The APC UPS with output power capacity of 540 Watts / 800 VA has built-in energy efficient parameters that provide consistent support during frequent load shedding situations.  Output Power Capacity: 540 Watts / 800 VA Nominal Input / Output voltage : 230 V Battery type: Maintenance-free sealed Lead-Acid battery with suspended electrolyte : leakproof Recharge time: 8 hours Interface: USB",Electronics
49,Sai Mosaic Art Pastel Mix tumble dark blue Small glass mosaic tiles in beautiful assortment of pestal colour family.,Household
50,Generic 2pcs Filter Kit for Shark Rotator Series Upright Vacuum Cleaner Specification: Fit for: Shark Rotator Pro Lift-Away Features: Easy to install. Durable and long service life. Package Included: 2 X Foam 2 X Felt 2 X HEPA Filter,Household
51,"Magical Books On Quicker Maths (2018-2019) Session by M. Tyra Review I won't say it was the best or indispensable or something because I haven' gone through all that are available but it was a good one or rather very good I would say --By SaketKr on 8 April 2015Really magical methods. super quick shortcut methods but only if you practice these methods several times. this book contains many formulas which you don't find in any other books on quantitative. concepts are explained very clearly. will be very beneficial for competitive exams. --By Rahul on 8 March 2015For those who are preparing for ssc or bank exams,this is the best you can get.excellent tricks,although there is not many questions to practice but the book is a marvel. --By kunal gautam on 3 July 2015 				    	 					 About the Author M. Tyra or Manoj Tyra is an instructor of mathematics. He writes books on problem solving and quantitative aptitude, with a special focus on Vedic mathematics. He has written Magical Book On Quicker Maths. Also, he has co-authored the book, Practice Book On Quicker Maths, with K. Kundan. This book can be used for practicing problem solving and strengthening one s understanding of the concepts from Magical Book On Quicker Maths. He started his own publication with Banking Services Chronicle, a monthly magazine. He has also developed study material for correspondence courses for IIT, CAT, and banking examinations. He graduated in 1990, with a degree in Mathematics from Delhi University. He has taught and mentored several students, helping them prepare for various competitive exams.",Books
52,"Study Package for NTSE, 5e About the Author Stalin Malhotra- Former Director, Delhi Public School, Faridabad S.L. Gulati- Educational Consultant Prem Dhawan- HOD, Dept. of Chemistry, DPS, R.K.Puram Rachna Gupta- Vice Principal, DPS, Vasant Kunj Sanjeev Joon- Educational Consultant Vinay Kumar- Former Principal, DPS, Vasant Kunj.",Books
53,"Dolphy Unique Design Two Waves Automatic Hand Dryer Hand dryer is a device used in almost all wash rooms for hygienically drying hands.Hand dryers are most eco friendly as they are instrumental in saving paper and towels.manual and automatic functioning models are available in abs body. Automatic hand dryers are completely comfortable. Material : ABS,Power : 1800 W,Waves : Two Waves (Hot & Cold Waves),Voltage : 200 - 240 V , 50 Hz,Induction Distance : 5 mm - 20 mm,Air Speed : >20 m/s,Air Temperature : 65 ± 15°C,Current : 4A,Blowing rate : 20m/s,Blowing volume : 162m³/h,Motor speed : 3000 r/min,Water splash proof : IPX1,Dry Hand Time : 15-18 Seconds,Dimension : 24 cm X 23 cm X 24 cm, Low noise, health, safety and energy saving, Touchless to prevent the spread of bacteria and the cross infection of the disease, Unique Design with Attractive Blue LED Light,Perfect use for public washroom, Hotels, Hospitals, Homes, Schools and Offices.",Household
54,Qube By Fort Collins Boy's Sweatshirt,Clothing & Accessories
55,"NanoNine Mini Stainless Steel Gravy Pot, 850ml, Silver Nanonine insulated gravy serving pot with glass lid. Specially designed to be lightweight for easy handling. Double wall puff coated serving pot. High quality stainless steel for long lasting life. Keeps food fresh and hot for hours. Multi purpose use: use it for curries, rice, idlis, pasta, yoghurt etc.",Household
56,"Usha Janome Piping Presser Foot for All Usha Janomoe Automatic Sewing Machines If ready made piping cord is not available or if you just want to make your own, the piping foot is ideal for the job. The piping foot (sometimes mistakenly referred to as the cording foot) is designed with two grooves on the underside and will hold and cover the cord when making piping tape. It can also be used for attaching piping. Used to apply piping, this presser foot gives you a professional finish.Ideal for upholstered or home decoration projects. The large grooves on the underside of this Usha Janome foot allow you to easily sew over large piping/cording. Simply place the piping/cording under the foot",Household
57,"Fancyadda Men's Khadi Cotton Handkerchiefs (Pack of 10, Multi-Colored) Cotton handkerchiefs for Men - Rich look and durable hankie made with Khadi or Khaddar is a term for handspun and hand-woven cloth from India mainly made out of cotton.",Clothing & Accessories
58,"Oswaal CBSE Question Bank Class 9 Science Chapterwise and Topicwise (For March 2019 Exam) About the Author This latest offering Oswaal Books is developed by “Oswaal Panel of Experts”.  Oswaal Books strongly believes in Making Learning Simple. To ensure student friendly yet highly exam-oriented content, we take due care in developing our Panel of Experts. Accomplished teachers with 100+ years of combined experience, Subject Matter Experts with unmatchable subject knowledge, dynamic educationists, professionals with keen interest in education and topper students from the length and breadth of the country, together form the coveted Oswaal Panel of Experts. It is with their expertise, guidance and keen eye for details that the content in each offering from Oswaal Books meets highest quality standards. No wonder, Oswaal Books holds an enviable place in every student’s heart!",Books
59,"Demystifying Reincarnation Review 'An intellectually stimulating and spiritually uplifting book that will expand the readers' conceptions of life and its meaning.' – Padma Vibhushan Dr. Vijay Bhatkar, Chancellor, Nalanda University ‘A major break-through work’ - Steven J. Rosen, author of The Reincarnation Controversy and founding editor of the Journal of Vaishnava Studies  ‘A well-researched book. . .truly illuminating’ - Dr. Ithamar Theodor, author of Exploring the Bhagavad Gita; Philosophy, Structure and Meaning ‘A scientific book with a critical eye’ - Dr. A. P. Sankhe, International President for Global Foundation for Ethics and Spiritual Health ‘This book offers such delightful confirmation of our gut feeling that we are meant for more than casual destruction at death.' - Hrishikesh Mafatlal, Chairman, Arvind Mafatlal Group About the Author Chaitanya Charan is a mentor, life coach and monk. Building on his engineering degree from the Government College of Engineering, Pune, he complemented his scientific training with a keen spiritual sensitivity. for over two decades, he has researched ancient wisdom-texts and practiced their teachings in a living yoga tradition. Author of over twenty books, he writes the world’s only Gita-daily feature (gitadaily.com), wherein he has penned over two thousand daily meditations on the Bhagavad-gita. Known for his systematic talks and incisive question-answer sessions, he has spoken on spiritual topics at universities and companies worldwide from Australia to America.",Books
60,"Lola Dola Women's Net G-Strings Panties (Black, Free Size) Set of 01 pcs Elegant G-String Panties. Will Fit, Waist (inches) --- 28-36 inches.",Clothing & Accessories
61,Improvhome 3.5mm Female Stereo Jack to 2 RCA Male Plugs Cable 1.5 Meter / 4.9 Feet - Black This 1.5 Meter long 3.5mm jack to 2-RCA stereo audio Y cable. This cable will send your music from MP3 player to stereo system. One end of the cable has a female 3.5mm stereo jack and the other end has two color coded male RCA plugs. (left and right audio channels). Specifications:  Shielded Y-Cables - 3.7mm OD Black PVC Jacket  Fully Molded RCA Plugs  Color-Coded Red-White to Black  AWG26 Stranded Copper Center Conductor  Low-Loss 95% Spiral-Wound Copper Shield  99.99% Pure Oxygen-Free Copper Wire,Electronics
