transaction_id,transaction_date,transaction_price
TRANSACTION_19012,1982-06-22,252945625
TRANSACTION_20981,2003-05-17,880035055
TRANSACTION_89337,1989-07-27,299992175
TRANSACTION_36360,2001-09-10,151811983
TRANSACTION_62899,2014-05-13,191212302
TRANSACTION_36061,1970-08-06,615923606
TRANSACTION_55679,2011-11-10,932902938
TRANSACTION_1891,1995-12-09,581148730
TRANSACTION_55012,1992-04-01,450380665
TRANSACTION_11415,2006-07-04,928171365
TRANSACTION_87872,2012-12-12,510836625
TRANSACTION_42587,2022-09-28,474945941
TRANSACTION_96311,2021-10-21,474521527
TRANSACTION_55402,2013-08-31,97907046
TRANSACTION_94880,2014-09-16,432561109
TRANSACTION_55161,2016-07-11,917211160
TRANSACTION_5618,1983-10-14,386650830
TRANSACTION_13593,1980-10-26,440187521
TRANSACTION_6360,1989-08-12,279939358
TRANSACTION_69696,1993-10-26,449786692
TRANSACTION_20008,2010-12-17,853331810
TRANSACTION_16487,2016-05-31,601914434
TRANSACTION_383,1994-08-16,351906159
TRANSACTION_4693,2020-09-09,829730604
TRANSACTION_45947,2014-06-12,194783720
TRANSACTION_64603,1973-08-24,198787719
TRANSACTION_66774,1977-04-02,487076418
TRANSACTION_4529,1985-08-31,995825417
TRANSACTION_16815,1973-08-15,949202281
TRANSACTION_62272,1998-03-27,530632633
TRANSACTION_69946,1993-10-26,309926632
TRANSACTION_69675,2012-09-30,928931231
TRANSACTION_16218,1982-02-19,428536567
TRANSACTION_27420,1971-08-02,824122780
TRANSACTION_99733,2009-03-28,800943505
TRANSACTION_78902,1970-04-17,762216410
TRANSACTION_17224,1971-11-22,497039718
TRANSACTION_92967,2003-03-23,891576349
TRANSACTION_28945,2014-04-18,573260754
TRANSACTION_45931,2012-06-06,115408635
TRANSACTION_46529,1972-03-23,274238019
TRANSACTION_61610,1973-05-26,539214869
TRANSACTION_20048,2000-08-02,338701340
TRANSACTION_90938,2018-09-22,603990982
TRANSACTION_84702,2018-12-07,649460387
TRANSACTION_32795,2019-01-21,949033471
TRANSACTION_51551,2000-05-06,253647890
TRANSACTION_84390,2021-10-02,369374854
TRANSACTION_52910,1992-08-15,350319618
TRANSACTION_17390,1998-02-11,702209957
TRANSACTION_63336,2015-10-15,982131570
TRANSACTION_9921,2019-12-22,981608368
TRANSACTION_42351,1994-05-13,181005497
TRANSACTION_60294,1978-04-15,888239020
TRANSACTION_65819,2018-06-02,163026006
TRANSACTION_55932,1984-09-04,11372886
TRANSACTION_80516,2001-10-22,31296843
TRANSACTION_23140,2008-11-06,69100226
TRANSACTION_19126,1987-04-25,651311807
TRANSACTION_94872,2008-07-11,378617371
TRANSACTION_69239,1989-07-23,181274194
TRANSACTION_73911,2015-01-21,569178927
TRANSACTION_57064,2022-11-12,996613548
TRANSACTION_21792,1996-03-19,235518520
TRANSACTION_15933,1999-02-09,763273992
TRANSACTION_18488,1982-05-01,936355353
TRANSACTION_32447,1982-12-10,355706820
TRANSACTION_304,2002-05-31,580695604
TRANSACTION_5066,1998-09-12,191521252
TRANSACTION_24312,2016-10-05,550007317
TRANSACTION_97985,2019-01-19,771485279
TRANSACTION_5694,1973-02-01,158808520
TRANSACTION_42008,2009-12-27,730447950
TRANSACTION_90747,2003-09-19,656518278
TRANSACTION_4077,1994-03-26,369824130
TRANSACTION_30959,1999-01-09,200665503
TRANSACTION_10503,2014-09-16,472192753
TRANSACTION_34499,1976-05-13,64475677
TRANSACTION_84720,2019-01-20,832994824
TRANSACTION_33007,2020-09-09,902767953
TRANSACTION_17155,1970-03-25,628979629
TRANSACTION_95147,2004-06-24,472483093
TRANSACTION_22836,1975-08-20,369486827
TRANSACTION_43038,2017-01-26,894881098
TRANSACTION_37099,1990-12-04,554019034
TRANSACTION_4142,2016-04-01,452653410
TRANSACTION_4299,1987-07-26,865508607
TRANSACTION_31603,1979-12-28,403118186
TRANSACTION_22421,2007-07-01,980935126
TRANSACTION_22146,1993-08-20,235451426
TRANSACTION_32875,2019-12-22,32122694
TRANSACTION_41396,1987-10-01,113046581
TRANSACTION_87705,1998-10-08,148847838
TRANSACTION_28320,1979-02-02,986299045
TRANSACTION_15564,2022-03-22,801749973
TRANSACTION_47917,2014-08-07,749051236
TRANSACTION_68472,1975-05-12,532264959
TRANSACTION_94749,2012-06-13,933295898
TRANSACTION_70451,1998-04-12,277980603
TRANSACTION_72438,2015-01-18,139626656
TRANSACTION_97094,1980-02-14,689143808
TRANSACTION_40971,2017-12-10,516212457
TRANSACTION_20433,2012-11-20,237045886
TRANSACTION_84284,1992-09-07,570572438
TRANSACTION_61,1986-10-21,724888793
TRANSACTION_35412,1982-09-05,943516616
TRANSACTION_48329,1981-10-22,977479436
TRANSACTION_38933,1975-06-27,800300920
TRANSACTION_10296,2008-07-22,349440202
TRANSACTION_72292,2012-12-11,111895429
TRANSACTION_4193,1983-01-03,684769373
TRANSACTION_75782,2006-07-22,537218001
TRANSACTION_57908,2001-11-20,889591703
TRANSACTION_56642,2002-12-26,695042956
TRANSACTION_57151,1983-01-02,943304187
TRANSACTION_26078,1995-10-12,73619299
TRANSACTION_18408,1977-01-21,713884854
TRANSACTION_53222,1989-04-25,475665909
TRANSACTION_80152,1994-01-19,356299085
TRANSACTION_50016,2014-05-05,200569408
TRANSACTION_6246,2022-11-28,849939522
TRANSACTION_70916,2012-02-24,88858159
TRANSACTION_16969,1979-08-29,482355658
TRANSACTION_82641,2004-10-17,801073604
TRANSACTION_96394,1995-10-01,600690378
TRANSACTION_79873,1986-03-08,350212339
TRANSACTION_55867,1984-01-08,14890613
TRANSACTION_24598,1986-02-16,418457624
TRANSACTION_77727,1992-10-04,455098684
TRANSACTION_73475,1999-08-24,767890972
TRANSACTION_76755,1970-03-17,663278300
TRANSACTION_50074,1990-11-04,973965838
TRANSACTION_76590,2009-09-18,655178940
TRANSACTION_80675,2001-07-25,684246245
TRANSACTION_19591,1996-10-13,130678803
TRANSACTION_96436,2012-09-13,663622530
TRANSACTION_37550,2023-01-04,470345188
TRANSACTION_34530,2006-05-06,948538785
TRANSACTION_44007,2011-07-01,684905855
TRANSACTION_17883,2015-06-24,73961383
TRANSACTION_27108,2012-12-23,941339899
TRANSACTION_35043,2006-03-19,452461387
TRANSACTION_18691,1975-04-18,413765231
TRANSACTION_50405,1970-01-12,975062068
TRANSACTION_79135,1997-01-29,515533178
TRANSACTION_42835,2001-06-24,889256170
TRANSACTION_15287,1996-08-20,363376237
TRANSACTION_92663,2011-08-09,643440296
TRANSACTION_21042,1976-06-12,18120046
TRANSACTION_67238,2001-09-11,132785842
TRANSACTION_8480,1972-06-04,64639189
TRANSACTION_7201,2009-01-03,653629611
TRANSACTION_27100,1978-01-06,95347428
TRANSACTION_55168,2020-05-06,297385067
TRANSACTION_49895,1985-11-03,711227732
TRANSACTION_84984,2012-08-05,348725991
TRANSACTION_47355,2021-04-20,308667303
TRANSACTION_4585,2003-04-09,704378414
TRANSACTION_51011,2022-12-28,225876242
TRANSACTION_60163,2013-05-24,784720884
TRANSACTION_66521,1991-02-03,684197197
TRANSACTION_84464,2003-08-20,13141885
TRANSACTION_8739,2000-04-17,601436563
TRANSACTION_99072,1984-12-04,428010332
TRANSACTION_46714,2002-02-10,838126377
TRANSACTION_23417,1976-10-31,454052957
TRANSACTION_59355,2011-10-01,181316676
TRANSACTION_95674,2014-02-16,435638788
TRANSACTION_21845,2017-07-01,105877435
TRANSACTION_20712,2013-06-29,526946681
TRANSACTION_19327,1992-12-25,886741819
TRANSACTION_72933,2016-10-20,486230306
TRANSACTION_37729,1995-06-08,395384949
TRANSACTION_63894,2001-09-21,410983401
TRANSACTION_42832,2007-10-16,496984565
TRANSACTION_4107,2011-04-12,553034467
TRANSACTION_79178,1973-05-23,781279338
TRANSACTION_91114,1993-09-25,405578877
TRANSACTION_78073,1990-05-20,895996743
TRANSACTION_88883,1971-06-10,277987221
TRANSACTION_95202,2009-12-18,832898440
TRANSACTION_4232,1998-10-11,572050181
TRANSACTION_79957,1999-06-19,462303370
TRANSACTION_75544,1993-01-12,291481516
TRANSACTION_24818,1982-02-18,610112637
TRANSACTION_19060,1981-08-24,296742347
TRANSACTION_81575,2008-03-23,536976416
TRANSACTION_59323,2022-03-24,625633863
TRANSACTION_24017,1987-07-03,197817202
TRANSACTION_23404,1984-07-25,792532646
TRANSACTION_38984,1982-03-09,984632231
TRANSACTION_44694,2010-05-10,734803681
TRANSACTION_22925,2006-01-30,858058142
TRANSACTION_14461,1997-10-09,464543942
TRANSACTION_44558,2012-03-12,76996076
TRANSACTION_97051,1982-07-18,72232676
TRANSACTION_94545,1985-07-11,49192800
TRANSACTION_35022,1984-05-13,729150084
TRANSACTION_7877,1971-10-25,44480991
TRANSACTION_22301,1970-04-21,338710047
TRANSACTION_48465,1992-01-08,695378617
TRANSACTION_81372,2015-06-23,299690309
TRANSACTION_7094,2020-12-21,149612293
TRANSACTION_57124,1975-05-02,10513787
TRANSACTION_28411,2018-05-08,957577888
TRANSACTION_18122,2011-06-23,965376529
TRANSACTION_22452,1983-04-12,759616931
TRANSACTION_62064,1995-08-08,390597112
TRANSACTION_42473,1993-05-13,539215696
TRANSACTION_8051,2015-06-07,509584234
TRANSACTION_83938,1988-01-26,205390899
TRANSACTION_88250,2002-09-22,901915942
TRANSACTION_25270,1980-11-04,242895191
TRANSACTION_16351,2014-12-17,965900049
TRANSACTION_80593,2022-06-18,945028959
TRANSACTION_72711,1994-10-07,216574598
TRANSACTION_71448,2013-01-17,860057048
TRANSACTION_68460,1973-05-19,622543387
TRANSACTION_85705,2014-08-24,753660446
TRANSACTION_99660,2001-09-17,709639606
TRANSACTION_32360,2019-06-02,64773494
TRANSACTION_33373,1982-12-11,618522639
TRANSACTION_81841,1987-07-02,988753665
TRANSACTION_22211,1996-12-10,58090960
TRANSACTION_17971,2013-09-24,417251471
TRANSACTION_75075,1995-10-21,196485025
TRANSACTION_85247,1989-08-22,314191600
TRANSACTION_4564,2020-06-07,932321264
TRANSACTION_75452,1970-07-24,509888371
TRANSACTION_20706,1988-07-05,300560026
TRANSACTION_58671,2022-12-19,786821905
TRANSACTION_2598,2003-09-24,523343413
TRANSACTION_59642,1978-07-09,2452893
TRANSACTION_31750,2015-07-08,909588546
TRANSACTION_37162,1970-02-26,477608893
TRANSACTION_55446,2011-04-12,357924598
TRANSACTION_25373,1977-12-14,798929254
TRANSACTION_6788,2004-07-17,438883688
TRANSACTION_87681,2011-10-12,672334288
TRANSACTION_26924,1983-08-04,441052329
TRANSACTION_2081,1972-10-07,981267817
TRANSACTION_39907,1996-03-20,308828566
TRANSACTION_37236,1974-12-17,570778174
TRANSACTION_55781,1998-08-02,316819016
TRANSACTION_69604,2005-03-26,152606102
TRANSACTION_16507,2012-05-03,549299608
TRANSACTION_24101,2020-11-13,666244663
TRANSACTION_88844,1975-09-28,785687994
TRANSACTION_35206,1988-05-28,229094535
TRANSACTION_25344,1975-03-30,731783121
TRANSACTION_15551,2023-09-18,819629175
TRANSACTION_4771,1983-10-18,76333088
TRANSACTION_6766,1970-12-31,711938205
TRANSACTION_17445,1996-12-17,11885603
TRANSACTION_80034,1999-02-06,963344232
TRANSACTION_25582,2001-12-22,89137095
TRANSACTION_99710,1994-05-05,560888211
TRANSACTION_57365,2013-07-29,73543994
TRANSACTION_44520,2003-05-17,800665343
TRANSACTION_49393,2016-02-26,925233085
TRANSACTION_22509,2019-03-31,104389173
TRANSACTION_39585,1973-09-20,65216528
TRANSACTION_30889,1980-03-24,779290175
TRANSACTION_90131,1978-11-11,614941371
TRANSACTION_41193,1990-03-19,262866062
TRANSACTION_85419,2008-09-03,686623514
TRANSACTION_85967,1980-07-27,449955804
TRANSACTION_33856,1997-06-09,726494037
TRANSACTION_78617,1971-06-27,543921612
TRANSACTION_91656,1988-02-11,743124981
TRANSACTION_9918,2016-08-10,334155889
TRANSACTION_57481,1993-12-18,625292401
TRANSACTION_3418,2018-10-17,114103543
TRANSACTION_97550,2004-12-29,767296104
TRANSACTION_89246,2001-12-22,846292556
TRANSACTION_49524,1974-10-04,559282620
TRANSACTION_82381,2006-07-19,738949628
TRANSACTION_72333,2000-01-02,19461746
TRANSACTION_10118,1974-02-09,397298055
TRANSACTION_12654,1977-09-22,726609735
TRANSACTION_90638,1983-09-27,854810037
TRANSACTION_88304,1973-08-02,321397061
TRANSACTION_25444,1990-04-21,717575707
TRANSACTION_33276,1971-09-03,402917353
TRANSACTION_24989,1988-11-24,731225839
TRANSACTION_2027,2014-02-19,696858895
TRANSACTION_14060,1976-10-07,387235579
TRANSACTION_68454,1994-06-12,822903712
TRANSACTION_23202,1977-10-19,842109472
TRANSACTION_58100,1999-10-08,514591600
TRANSACTION_94478,2005-07-20,513206334
TRANSACTION_94426,2014-12-07,293507941
TRANSACTION_98757,2004-05-12,79902724
TRANSACTION_43708,1976-07-13,532431982
TRANSACTION_9730,1999-01-31,694199895
TRANSACTION_91046,2012-05-22,157274359
TRANSACTION_58745,2017-07-23,829913985
TRANSACTION_60655,1974-01-28,356217724
TRANSACTION_32233,1984-04-27,782691634
TRANSACTION_45659,2010-10-12,142720086
TRANSACTION_42062,1977-06-19,10505205
TRANSACTION_71772,1974-05-06,656970785
TRANSACTION_76617,1983-09-20,799928262
TRANSACTION_63843,1972-02-23,73607571
TRANSACTION_48058,2017-12-16,436732457
TRANSACTION_57150,1994-08-09,523552045
TRANSACTION_11241,1972-02-23,83856965
TRANSACTION_6171,2020-05-09,124097610
TRANSACTION_34496,1989-06-15,129106492
TRANSACTION_61388,1999-12-21,969825488
TRANSACTION_99360,2005-03-13,122487624
TRANSACTION_16273,1996-03-24,90533755
TRANSACTION_82655,1978-12-26,243135107
TRANSACTION_81860,2012-05-06,468429555
TRANSACTION_22836,1986-11-30,939823436
TRANSACTION_11039,1976-07-30,334826449
TRANSACTION_77890,1990-10-15,684849292
TRANSACTION_16417,2017-01-02,497172839
TRANSACTION_15497,2013-05-05,627834059
TRANSACTION_81290,2016-01-21,625268112
TRANSACTION_5463,2010-03-18,707656293
TRANSACTION_67110,2007-12-02,453037299
TRANSACTION_13329,1981-12-10,711538259
TRANSACTION_96552,2006-03-08,431160315
TRANSACTION_95265,2002-07-30,826219570
TRANSACTION_64163,2016-06-16,776883664
TRANSACTION_23475,1977-09-25,259064855
TRANSACTION_93489,1970-03-13,456587697
TRANSACTION_58625,2013-07-12,535641312
TRANSACTION_33861,1986-01-31,321591809
TRANSACTION_5480,2021-12-26,557545369
TRANSACTION_72146,2009-01-31,285308627
TRANSACTION_42909,1998-02-18,515306449
TRANSACTION_57521,2011-05-25,408640057
TRANSACTION_20792,2013-07-13,235313652
TRANSACTION_44511,2007-06-26,511777938
TRANSACTION_15848,1982-09-30,354031503
TRANSACTION_60148,2000-10-30,485013115
TRANSACTION_67384,1981-06-27,266232503
TRANSACTION_85450,1973-10-01,580187201
TRANSACTION_93785,2009-05-07,563454703
TRANSACTION_84373,1973-07-09,608943177
TRANSACTION_12715,2018-09-09,16589698
TRANSACTION_17314,2004-03-14,286054647
TRANSACTION_55918,1979-04-26,240751944
TRANSACTION_6777,2011-03-21,559323359
TRANSACTION_38774,1991-05-02,284297219
TRANSACTION_601,2000-07-31,959102235
TRANSACTION_45386,2011-03-30,217118965
TRANSACTION_24507,1999-03-02,44165731
TRANSACTION_26036,2022-01-14,20959890
TRANSACTION_14535,1996-08-03,364297490
TRANSACTION_69914,1970-01-20,833576887
TRANSACTION_76324,2015-10-15,335024413
TRANSACTION_64290,2012-04-27,889681694
TRANSACTION_34946,2002-05-20,565815712
TRANSACTION_54975,2002-05-02,923618493
TRANSACTION_91615,1976-10-01,371897814
TRANSACTION_35229,2022-02-07,488400019
TRANSACTION_52023,1980-07-23,419104075
TRANSACTION_3718,1971-10-04,675416973
TRANSACTION_2340,1973-07-04,221698985
TRANSACTION_9577,1990-03-05,584638851
TRANSACTION_94487,1972-08-11,424110722
TRANSACTION_79018,1988-07-30,278206100
TRANSACTION_1862,1985-02-08,490648948
TRANSACTION_68648,1993-05-11,104688610
TRANSACTION_45603,1995-02-28,115561885
TRANSACTION_24087,1999-04-14,964248648
TRANSACTION_66857,1978-09-15,228333172
TRANSACTION_62742,1988-09-08,714576483
TRANSACTION_78072,1972-12-31,985491447
TRANSACTION_65807,2004-12-30,21677225
TRANSACTION_57679,1986-10-22,648141145
TRANSACTION_44675,2010-03-27,318506614
TRANSACTION_1902,2004-11-03,880661320
TRANSACTION_28588,2014-01-28,543768041
TRANSACTION_1389,1978-09-01,314235913
TRANSACTION_3660,1987-07-24,964802323
TRANSACTION_30847,2000-09-02,309956129
TRANSACTION_76900,2006-03-28,998638807
TRANSACTION_94359,1984-01-26,76807072
TRANSACTION_54184,2010-07-06,225530302
TRANSACTION_91883,1994-01-23,668483464
TRANSACTION_51553,2009-02-01,749042982
TRANSACTION_32824,1992-04-20,53009774
TRANSACTION_75737,2016-07-08,348478775
TRANSACTION_60934,1980-12-30,918098712
TRANSACTION_72875,1975-09-01,856515376
TRANSACTION_40820,2006-03-25,694900665
TRANSACTION_26699,1980-06-30,529700342
TRANSACTION_36806,2018-05-31,589675918
TRANSACTION_88990,1971-06-27,605963929
TRANSACTION_41724,1997-06-17,103092131
TRANSACTION_26970,1988-08-15,539519586
TRANSACTION_41175,1991-07-05,542653226
TRANSACTION_14587,1979-11-07,916975385
TRANSACTION_18442,1993-04-11,908958030
TRANSACTION_66776,1982-08-18,548607552
TRANSACTION_16567,1978-02-22,858351952
TRANSACTION_91512,2002-05-10,211339401
TRANSACTION_93247,1976-10-12,702873997
TRANSACTION_8636,2008-06-04,822263837
TRANSACTION_39758,1991-09-26,846257649
TRANSACTION_90030,2012-12-29,805829610
TRANSACTION_91135,2009-03-07,476316766
TRANSACTION_62659,1976-02-27,701310575
TRANSACTION_40778,2005-07-30,222587947
TRANSACTION_23005,2002-07-24,345250962
TRANSACTION_74375,2005-11-25,998484932
TRANSACTION_19809,1970-12-29,245281936
TRANSACTION_46227,1975-06-18,974421223
TRANSACTION_99166,2018-10-16,76968416
TRANSACTION_16744,2004-05-15,898438276
TRANSACTION_80238,2008-06-16,138389342
TRANSACTION_9939,1981-11-19,425101289
TRANSACTION_12788,1982-04-18,262878826
TRANSACTION_16907,1974-03-18,507255350
TRANSACTION_99571,1990-07-02,970334434
TRANSACTION_64111,1974-10-28,544396699
TRANSACTION_93583,1984-09-13,963729463
TRANSACTION_11212,2015-11-28,672708580
TRANSACTION_40876,1986-10-21,78437185
TRANSACTION_31365,1979-08-15,158658577
TRANSACTION_53862,2005-01-30,310431595
TRANSACTION_47406,2008-10-26,702854129
TRANSACTION_90662,1997-12-11,828576316
TRANSACTION_92900,1983-05-24,236062651
TRANSACTION_1559,2020-08-05,54820358
TRANSACTION_62624,1996-11-23,484904981
TRANSACTION_70013,2010-01-07,496412641
TRANSACTION_51803,1998-04-16,820697137
TRANSACTION_54679,2001-07-20,631281017
TRANSACTION_92371,1975-11-04,818077433
TRANSACTION_16496,1988-10-14,294735121
TRANSACTION_80422,1988-07-31,454712798
TRANSACTION_21260,1977-03-29,347317053
TRANSACTION_64731,1973-12-29,282097460
TRANSACTION_82447,1999-06-15,553835365
TRANSACTION_82477,2021-11-21,5236443
TRANSACTION_99326,2017-11-18,201995580
TRANSACTION_34676,1970-04-17,355309092
TRANSACTION_21598,1991-04-06,585943720
TRANSACTION_68518,1987-11-10,253899451
TRANSACTION_45808,2016-08-30,454182138
TRANSACTION_65261,1999-09-03,132524633
TRANSACTION_75982,2016-09-06,343880162
TRANSACTION_70365,2007-12-30,218057818
TRANSACTION_88349,2009-09-14,576220543
TRANSACTION_58331,1981-03-18,446182060
TRANSACTION_14093,2020-11-21,445690123
TRANSACTION_90235,1978-07-12,148778252
TRANSACTION_88823,1987-03-12,81731277
TRANSACTION_83802,2023-05-06,940222424
TRANSACTION_68694,2015-12-30,365001318
TRANSACTION_39800,1971-10-22,393374335
TRANSACTION_46033,2019-06-04,971229955
TRANSACTION_87666,2008-04-26,964028802
TRANSACTION_34451,2016-09-09,5897377
TRANSACTION_47199,1978-10-10,595072478
TRANSACTION_36812,2009-12-14,635623120
TRANSACTION_2670,1972-12-17,796840157
TRANSACTION_11788,2003-01-11,679503680
TRANSACTION_7619,1982-09-28,971027910
TRANSACTION_21733,1982-05-14,560387732
TRANSACTION_73194,1971-09-17,76221380
TRANSACTION_20195,1970-05-27,23108713
TRANSACTION_96738,2020-08-01,691573864
TRANSACTION_23072,1997-05-22,543881777
TRANSACTION_45535,1998-11-11,399565747
TRANSACTION_70188,2008-06-14,659047499
TRANSACTION_54791,1987-09-05,881608367
TRANSACTION_64979,1981-04-10,241434721
TRANSACTION_94583,1986-08-26,123572206
TRANSACTION_67808,2006-11-16,653172704
TRANSACTION_62231,2014-06-18,466271307
TRANSACTION_27791,1993-06-26,378879295
TRANSACTION_45881,1982-10-28,70324035
TRANSACTION_57106,1988-12-28,250163928
TRANSACTION_62946,1990-08-12,662603683
TRANSACTION_79581,1977-11-29,647844105
TRANSACTION_10461,2000-05-24,535979010
TRANSACTION_6221,1974-05-23,579320926
TRANSACTION_16049,1975-12-15,991877367
TRANSACTION_79300,1970-04-14,209343400
TRANSACTION_5967,2022-08-28,225517222
TRANSACTION_93209,1993-04-10,708431828
TRANSACTION_40454,2021-06-27,142549360
TRANSACTION_96431,2021-08-25,679722228
TRANSACTION_93223,1985-08-08,637362846
TRANSACTION_53086,1990-07-06,347867883
TRANSACTION_69398,1983-04-19,701381293
TRANSACTION_62079,2006-03-31,524238431
TRANSACTION_5505,2020-04-12,700593486
TRANSACTION_72148,1973-05-08,731072960
TRANSACTION_99164,2003-07-01,37221231
TRANSACTION_37910,2004-10-24,778035713
TRANSACTION_64513,1991-06-13,174423640
TRANSACTION_31311,2018-11-08,369414700
TRANSACTION_57386,2001-09-07,724780642
TRANSACTION_49104,1993-11-22,557932858
TRANSACTION_8759,2017-04-23,539333468
TRANSACTION_18774,1994-06-29,764313501
TRANSACTION_74182,1972-11-05,538606384
TRANSACTION_95376,1996-09-08,522687257
TRANSACTION_70705,2016-09-06,980051309
TRANSACTION_43346,1986-05-06,667036726
TRANSACTION_94494,1999-04-10,832993690
TRANSACTION_82675,1997-03-17,805609390
TRANSACTION_36669,2001-06-14,718545238
TRANSACTION_98438,1995-01-22,184383830
TRANSACTION_17823,2007-05-09,838544324
TRANSACTION_14122,1998-08-01,253632507
TRANSACTION_59849,2020-01-25,586164070
TRANSACTION_26968,2008-11-30,833612260
TRANSACTION_36958,1988-10-07,208810857
TRANSACTION_67885,1980-08-24,6205245
TRANSACTION_16875,1986-05-07,851800174
TRANSACTION_81144,1972-09-16,668640348
TRANSACTION_49964,1994-03-14,83676912
TRANSACTION_8113,1992-04-28,797265449
TRANSACTION_9758,1994-03-20,511378899
TRANSACTION_12119,2022-07-06,213312710
