unique_id,age,Gender,Math_Score,Reading_Score,Writing_Score,Lunch
JKT-3793,15,Male,1,66,1,Free/Reduced
JKT-6199,18,Female,77,8,93,Standard
JKT-9818,17,Male,14,10,13,Free/Reduced
JKT-7790,15,Female,77,46,89,Free/Reduced
JKT-7989,18,Female,33,42,57,Standard
JKT-5439,16,Female,100,57,99,Free/Reduced
JKT-3993,18,Male,43,15,58,Free/Reduced
JKT-5049,16,Male,84,36,25,Free/Reduced
JKT-0144,15,Female,40,47,45,Free/Reduced
JKT-2429,18,Female,86,5,18,Standard
JKT-2893,18,Male,30,100,52,Free/Reduced
JKT-0886,17,Female,98,70,67,Standard
JKT-9859,18,Male,6,4,89,Standard
JKT-6282,18,Female,14,63,93,Standard
JKT-7882,15,Male,62,7,41,Free/Reduced
JKT-3673,17,Male,98,34,88,Standard
JKT-8519,17,Female,44,86,40,Free/Reduced
JKT-2255,16,Female,75,71,35,Standard
JKT-1769,18,Male,2,61,57,Standard
JKT-7208,15,Female,73,33,26,Free/Reduced
JKT-8722,15,Male,41,88,67,Free/Reduced
JKT-4176,18,Male,69,44,0,Free/Reduced
JKT-7700,17,Male,4,24,0,Standard
JKT-2366,15,Male,85,95,75,Standard
JKT-9797,18,Female,10,50,92,Free/Reduced
JKT-1632,15,Female,100,75,81,Free/Reduced
JKT-0687,16,Male,38,38,37,Standard
JKT-3559,15,Female,35,27,69,Standard
JKT-9427,16,Male,16,11,77,Standard
JKT-6220,17,Male,3,86,35,Standard
JKT-0383,18,Female,92,15,81,Free/Reduced
JKT-7745,16,Male,31,43,12,Free/Reduced
JKT-4431,15,Male,39,70,91,Standard
JKT-0051,15,Female,84,91,17,Standard
JKT-7212,18,Male,35,90,47,Standard
JKT-7103,18,Male,35,44,37,Free/Reduced
JKT-8101,15,Male,20,83,73,Free/Reduced
JKT-1546,18,Male,56,27,93,Standard
JKT-9668,15,Male,56,69,39,Standard
JKT-8254,15,Male,96,90,27,Free/Reduced
JKT-2365,17,Male,72,96,86,Standard
JKT-7690,17,Male,76,41,30,Free/Reduced
JKT-4216,18,Male,80,68,13,Free/Reduced
JKT-8242,17,Male,45,1,34,Standard
JKT-1959,16,Female,75,90,98,Free/Reduced
JKT-7582,17,Male,23,51,82,Free/Reduced
JKT-9145,18,Male,55,52,73,Free/Reduced
JKT-7983,16,Male,87,26,66,Standard
JKT-4080,17,Female,7,76,44,Standard
JKT-8092,18,Male,99,50,95,Free/Reduced
JKT-7339,18,Female,99,77,33,Standard
JKT-3122,18,Male,11,41,9,Free/Reduced
JKT-1747,18,Female,41,10,18,Standard
JKT-7505,17,Female,75,98,80,Free/Reduced
JKT-1807,17,Male,68,81,14,Free/Reduced
JKT-2586,17,Female,31,45,64,Standard
JKT-5030,17,Female,60,11,34,Free/Reduced
JKT-8379,16,Male,23,50,17,Standard
JKT-3032,16,Male,10,38,19,Free/Reduced
JKT-5893,18,Male,13,76,40,Free/Reduced
JKT-8246,16,Male,67,81,81,Standard
JKT-4217,17,Male,20,64,58,Free/Reduced
JKT-8326,16,Female,49,27,88,Free/Reduced
JKT-8606,17,Female,44,58,71,Standard
JKT-0213,16,Male,46,77,19,Free/Reduced
JKT-7945,18,Female,40,43,72,Free/Reduced
JKT-4485,15,Female,28,9,73,Free/Reduced
JKT-9677,16,Female,47,47,6,Standard
JKT-4553,16,Female,96,23,34,Standard
JKT-5737,15,Male,81,29,34,Standard
JKT-3198,18,Female,31,5,72,Free/Reduced
JKT-4552,18,Male,92,64,22,Standard
JKT-3588,17,Male,100,90,9,Standard
JKT-8199,18,Female,21,34,69,Free/Reduced
JKT-1743,15,Male,56,37,78,Free/Reduced
JKT-6333,18,Female,97,56,47,Free/Reduced
JKT-6262,18,Male,79,14,84,Free/Reduced
JKT-9861,15,Male,51,75,3,Standard
JKT-1081,15,Male,71,76,84,Standard
JKT-6961,18,Female,65,72,8,Standard
JKT-1149,17,Female,47,1,80,Standard
JKT-7573,15,Male,7,45,60,Standard
JKT-2126,16,Male,70,87,52,Free/Reduced
JKT-7409,18,Male,15,62,72,Free/Reduced
JKT-4561,17,Female,86,51,72,Free/Reduced
JKT-4587,17,Female,10,40,5,Standard
JKT-5273,16,Male,4,6,78,Standard
JKT-8149,18,Male,63,48,64,Standard
JKT-6526,15,Female,37,92,84,Free/Reduced
JKT-8163,16,Female,69,91,97,Free/Reduced
JKT-1196,17,Female,78,77,7,Standard
JKT-5871,15,Female,60,86,74,Free/Reduced
JKT-1020,17,Male,100,35,15,Standard
JKT-0091,16,Female,65,17,23,Standard
JKT-3289,15,Male,46,19,60,Standard
JKT-4518,16,Female,46,62,55,Standard
JKT-7124,16,Female,69,81,27,Free/Reduced
JKT-9396,18,Male,77,66,9,Standard
JKT-8988,15,Male,37,1,83,Free/Reduced
JKT-6575,18,Female,67,63,81,Standard
JKT-6690,15,Female,69,74,67,Free/Reduced
JKT-4918,18,Female,59,63,14,Standard
JKT-8449,17,Female,75,97,67,Standard
JKT-9787,15,Male,73,47,91,Free/Reduced
JKT-4517,18,Female,9,54,89,Free/Reduced
JKT-4928,16,Male,45,57,7,Free/Reduced
JKT-5515,16,Female,62,47,81,Standard
JKT-2393,16,Male,27,41,4,Free/Reduced
JKT-6650,15,Male,13,6,14,Standard
JKT-3249,18,Male,78,35,32,Free/Reduced
JKT-7093,18,Male,59,15,15,Free/Reduced
JKT-7174,18,Male,48,75,57,Standard
JKT-0946,18,Female,68,65,80,Standard
JKT-5037,18,Female,7,67,7,Standard
JKT-5750,16,Male,78,41,10,Free/Reduced
JKT-3357,15,Female,57,72,88,Free/Reduced
JKT-5135,18,Female,3,82,0,Standard
JKT-9623,17,Male,7,49,4,Standard
JKT-5153,16,Female,36,88,88,Standard
JKT-0607,16,Male,58,52,45,Standard
JKT-9662,17,Male,39,2,42,Free/Reduced
JKT-2019,16,Female,26,50,87,Free/Reduced
JKT-8886,15,Female,67,2,4,Free/Reduced
JKT-2299,18,Female,67,6,3,Free/Reduced
JKT-0318,18,Female,22,7,64,Free/Reduced
JKT-7155,15,Male,49,87,50,Standard
JKT-4897,15,Male,8,10,96,Standard
JKT-8380,15,Male,51,81,90,Standard
JKT-5493,17,Female,61,0,9,Free/Reduced
JKT-7884,17,Female,41,66,12,Standard
JKT-3716,16,Female,79,92,45,Free/Reduced
JKT-9865,16,Male,95,6,26,Standard
JKT-6757,17,Male,98,41,5,Standard
JKT-7328,18,Female,69,74,40,Standard
JKT-3822,16,Female,6,14,6,Standard
JKT-2209,17,Male,32,53,45,Standard
JKT-4717,15,Male,91,2,49,Free/Reduced
JKT-2210,18,Male,18,34,39,Free/Reduced
JKT-1982,17,Male,78,88,45,Free/Reduced
JKT-3257,15,Male,40,59,63,Free/Reduced
JKT-3288,15,Male,19,30,15,Free/Reduced
JKT-6550,15,Male,40,1,84,Standard
JKT-2190,18,Male,5,60,94,Standard
JKT-2638,18,Male,99,70,46,Free/Reduced
JKT-4914,16,Male,52,66,42,Free/Reduced
JKT-3976,16,Female,91,63,52,Standard
JKT-8815,18,Female,83,48,89,Free/Reduced
JKT-2739,17,Male,70,52,38,Free/Reduced
JKT-3534,16,Female,6,84,32,Standard
JKT-7452,18,Male,41,29,83,Free/Reduced
JKT-8748,18,Male,17,38,83,Standard
JKT-2868,15,Female,15,29,93,Standard
JKT-5703,15,Female,83,20,56,Standard
JKT-8815,15,Female,22,64,68,Free/Reduced
JKT-7223,18,Male,0,67,22,Standard
JKT-2589,17,Female,87,50,54,Free/Reduced
JKT-7325,15,Female,49,16,45,Standard
JKT-2342,17,Male,44,72,7,Free/Reduced
JKT-5954,16,Female,49,95,90,Free/Reduced
JKT-5033,18,Male,46,89,48,Standard
JKT-5168,16,Female,4,99,92,Free/Reduced
JKT-5016,15,Male,85,12,17,Standard
JKT-3401,15,Male,73,74,62,Standard
JKT-9354,17,Male,47,34,46,Free/Reduced
JKT-8189,16,Female,89,50,68,Free/Reduced
JKT-3607,15,Female,38,95,86,Free/Reduced
JKT-0671,15,Female,29,62,87,Standard
JKT-5773,16,Female,70,3,3,Standard
JKT-9285,18,Female,93,96,88,Standard
JKT-4245,18,Male,59,32,20,Free/Reduced
JKT-8423,15,Male,66,39,22,Standard
JKT-8454,15,Female,17,86,16,Standard
JKT-4980,17,Female,89,35,79,Free/Reduced
JKT-5693,16,Male,27,12,63,Free/Reduced
JKT-5922,18,Female,76,87,21,Standard
JKT-2257,17,Female,69,69,70,Standard
JKT-0618,15,Female,50,1,85,Free/Reduced
JKT-2937,16,Female,61,37,76,Free/Reduced
JKT-8914,17,Male,93,54,5,Free/Reduced
JKT-5342,15,Female,82,30,50,Free/Reduced
JKT-5118,16,Male,90,5,95,Free/Reduced
JKT-1977,17,Male,96,59,64,Standard
JKT-2936,15,Female,11,67,10,Standard
JKT-3836,18,Female,72,28,82,Standard
JKT-6526,18,Female,72,8,29,Free/Reduced
JKT-8812,18,Female,80,6,40,Free/Reduced
JKT-8953,16,Male,16,83,40,Free/Reduced
JKT-6384,15,Female,24,49,45,Free/Reduced
JKT-7663,16,Female,11,59,26,Standard
JKT-4552,17,Male,33,93,91,Free/Reduced
JKT-4780,15,Female,11,99,100,Standard
JKT-6172,17,Female,6,93,37,Standard
JKT-7229,16,Female,20,60,45,Standard
JKT-8811,16,Female,2,88,3,Free/Reduced
JKT-4390,15,Female,62,63,83,Free/Reduced
JKT-6989,16,Male,56,20,71,Standard
JKT-4528,15,Female,37,48,20,Standard
JKT-8061,17,Male,8,58,46,Free/Reduced
JKT-0557,16,Female,18,77,66,Standard
JKT-4636,18,Male,40,23,42,Free/Reduced
JKT-4042,18,Female,5,2,59,Free/Reduced
JKT-8126,18,Male,49,11,46,Free/Reduced
JKT-7532,18,Male,86,51,33,Free/Reduced
JKT-0130,16,Male,86,64,96,Standard
JKT-9905,16,Female,89,56,48,Standard
JKT-8436,15,Female,64,51,53,Standard
JKT-3184,17,Male,11,92,86,Free/Reduced
JKT-0184,15,Female,5,40,87,Standard
JKT-7604,18,Male,53,68,75,Free/Reduced
JKT-7380,17,Male,19,90,61,Free/Reduced
JKT-2894,15,Female,97,83,53,Standard
JKT-1930,16,Female,85,94,9,Free/Reduced
JKT-2388,15,Male,14,57,23,Standard
JKT-1341,17,Female,20,51,54,Free/Reduced
JKT-2585,15,Male,38,40,50,Standard
JKT-1912,17,Male,72,11,2,Standard
JKT-9570,17,Female,18,36,35,Standard
JKT-2563,18,Female,74,97,60,Standard
JKT-7256,15,Male,0,25,18,Free/Reduced
JKT-8996,17,Female,100,30,66,Free/Reduced
JKT-0419,16,Female,81,22,18,Standard
JKT-9834,16,Female,26,56,69,Standard
JKT-1227,15,Female,11,78,40,Free/Reduced
JKT-8835,18,Male,69,43,50,Standard
JKT-5211,16,Female,49,74,56,Standard
JKT-5639,15,Male,0,53,82,Free/Reduced
JKT-2780,15,Female,9,28,27,Standard
JKT-4894,18,Female,93,36,65,Free/Reduced
JKT-7491,18,Male,0,88,62,Free/Reduced
JKT-1518,17,Male,9,63,57,Standard
JKT-0244,15,Male,19,97,41,Free/Reduced
JKT-3422,15,Male,30,21,72,Free/Reduced
JKT-2707,16,Female,68,58,32,Standard
JKT-6764,17,Female,14,7,2,Free/Reduced
JKT-6767,16,Female,10,70,43,Free/Reduced
JKT-0937,15,Male,81,58,12,Standard
JKT-8940,18,Male,63,73,6,Free/Reduced
JKT-2279,17,Male,15,21,41,Standard
JKT-6263,15,Male,33,10,76,Standard
JKT-1580,18,Male,13,59,6,Standard
JKT-5647,16,Female,10,86,52,Free/Reduced
JKT-4813,15,Female,39,86,54,Free/Reduced
JKT-9005,16,Female,6,10,6,Free/Reduced
JKT-0264,16,Male,58,63,67,Standard
JKT-0596,18,Male,50,73,50,Standard
JKT-2319,18,Female,28,67,30,Standard
JKT-6836,17,Female,58,53,98,Free/Reduced
JKT-0512,18,Male,74,32,11,Free/Reduced
JKT-7853,18,Female,92,45,16,Standard
JKT-5571,18,Female,82,46,36,Standard
JKT-3427,16,Male,66,29,19,Standard
JKT-9839,16,Male,80,20,11,Standard
JKT-2350,16,Female,65,59,1,Free/Reduced
JKT-9073,17,Male,3,81,23,Standard
JKT-4127,15,Male,20,25,36,Free/Reduced
JKT-1710,17,Female,90,21,96,Standard
JKT-4667,15,Male,1,79,67,Free/Reduced
JKT-9224,18,Male,7,28,0,Standard
JKT-3182,16,Male,60,7,86,Free/Reduced
JKT-6310,18,Male,49,55,13,Free/Reduced
JKT-1833,16,Male,90,100,47,Free/Reduced
JKT-4143,18,Female,99,75,43,Standard
JKT-2684,16,Male,74,95,98,Free/Reduced
JKT-2394,18,Female,59,17,5,Free/Reduced
JKT-2313,17,Female,70,12,80,Free/Reduced
JKT-5284,18,Female,85,25,33,Free/Reduced
JKT-0625,15,Male,45,41,29,Standard
JKT-0852,17,Male,63,8,98,Free/Reduced
JKT-4356,16,Male,32,96,7,Standard
JKT-9917,17,Female,73,25,51,Standard
JKT-9327,15,Female,32,30,40,Standard
JKT-9784,18,Female,71,40,100,Free/Reduced
JKT-3961,18,Male,1,50,7,Free/Reduced
JKT-5942,18,Male,30,49,44,Standard
JKT-5038,17,Female,48,12,73,Standard
JKT-6592,17,Male,43,67,30,Free/Reduced
JKT-2103,16,Male,34,53,0,Free/Reduced
JKT-7932,18,Male,61,59,4,Free/Reduced
JKT-2578,18,Female,44,67,99,Free/Reduced
JKT-5063,15,Female,75,90,20,Standard
JKT-7650,18,Female,50,89,15,Standard
JKT-1453,16,Female,79,20,77,Free/Reduced
JKT-2049,18,Female,12,92,53,Standard
JKT-3106,15,Female,45,14,50,Free/Reduced
JKT-9896,18,Male,72,46,81,Standard
JKT-4163,18,Male,57,60,54,Free/Reduced
JKT-1758,17,Female,80,8,100,Standard
JKT-7605,17,Male,74,14,3,Standard
JKT-8567,16,Male,56,57,100,Free/Reduced
JKT-9467,17,Male,81,47,81,Free/Reduced
JKT-4462,18,Female,90,18,85,Free/Reduced
JKT-6415,15,Female,83,40,23,Standard
JKT-5380,15,Female,13,29,21,Free/Reduced
JKT-3857,16,Male,28,73,42,Standard
JKT-3726,15,Male,34,69,37,Standard
JKT-6850,17,Male,32,5,57,Free/Reduced
JKT-3943,15,Male,83,62,33,Standard
JKT-3002,15,Male,95,21,0,Standard
JKT-3935,16,Female,57,73,45,Free/Reduced
JKT-0873,17,Female,0,88,81,Standard
JKT-6078,16,Male,62,84,81,Standard
JKT-6897,18,Female,42,21,45,Free/Reduced
JKT-8124,18,Male,97,74,67,Free/Reduced
JKT-9126,15,Male,27,69,57,Free/Reduced
JKT-0036,18,Female,8,58,89,Standard
JKT-0587,15,Female,48,79,56,Standard
JKT-5678,15,Female,3,86,53,Free/Reduced
JKT-0948,17,Male,64,81,26,Free/Reduced
JKT-6564,18,Male,12,54,78,Free/Reduced
JKT-2009,17,Male,64,66,58,Standard
JKT-1970,17,Male,1,23,73,Standard
JKT-7001,18,Male,65,14,90,Free/Reduced
JKT-4622,17,Male,5,83,43,Free/Reduced
JKT-5650,16,Female,61,95,96,Free/Reduced
JKT-8964,16,Female,90,97,41,Free/Reduced
JKT-1698,18,Female,42,25,57,Standard
JKT-2249,18,Male,7,42,71,Standard
JKT-7024,17,Female,30,67,40,Free/Reduced
JKT-4471,15,Male,85,10,4,Standard
JKT-6427,17,Male,73,31,99,Free/Reduced
JKT-9104,15,Female,28,99,8,Standard
JKT-0921,15,Female,90,22,22,Free/Reduced
JKT-1728,18,Male,71,26,92,Free/Reduced
JKT-6919,18,Female,42,16,79,Standard
JKT-8436,16,Female,88,87,24,Standard
JKT-4911,18,Female,2,3,1,Standard
JKT-8084,17,Female,10,37,53,Free/Reduced
JKT-4315,15,Female,20,27,8,Free/Reduced
JKT-8168,18,Male,78,79,45,Standard
JKT-4336,17,Male,4,50,93,Standard
JKT-9146,18,Male,44,79,70,Standard
JKT-1498,18,Male,51,33,3,Standard
JKT-3601,18,Female,91,0,3,Standard
JKT-3575,15,Male,70,51,74,Free/Reduced
JKT-7244,16,Male,1,74,81,Free/Reduced
JKT-9924,16,Male,3,22,40,Standard
JKT-4619,17,Male,45,91,99,Standard
JKT-2544,17,Female,44,4,15,Standard
JKT-0184,18,Male,4,61,19,Free/Reduced
JKT-2295,18,Female,72,94,33,Standard
JKT-4507,15,Female,89,82,69,Standard
JKT-3976,17,Male,44,56,35,Free/Reduced
JKT-9136,15,Female,86,86,55,Free/Reduced
JKT-9291,18,Male,86,80,75,Standard
JKT-6462,17,Male,58,9,9,Free/Reduced
JKT-1892,16,Female,89,53,72,Standard
JKT-9397,18,Male,60,86,71,Standard
JKT-1524,17,Female,38,29,18,Free/Reduced
JKT-2095,16,Female,50,61,23,Standard
JKT-0838,15,Male,2,33,69,Standard
JKT-3256,17,Female,31,62,82,Free/Reduced
JKT-2865,15,Male,26,41,17,Standard
JKT-1476,17,Male,64,15,86,Free/Reduced
JKT-0096,17,Female,88,0,93,Free/Reduced
JKT-0138,17,Female,2,80,64,Standard
JKT-0301,16,Male,41,43,15,Free/Reduced
JKT-7644,18,Male,29,98,91,Free/Reduced
JKT-2249,17,Female,64,81,57,Free/Reduced
JKT-5235,16,Female,52,77,87,Free/Reduced
JKT-6767,15,Female,83,57,87,Standard
JKT-7258,17,Female,11,30,89,Free/Reduced
JKT-1042,16,Male,81,4,74,Standard
JKT-1526,16,Female,43,44,79,Standard
JKT-1113,16,Female,27,18,44,Free/Reduced
JKT-3967,18,Female,76,66,76,Free/Reduced
JKT-9720,15,Female,80,32,7,Standard
JKT-3141,16,Female,80,78,24,Free/Reduced
JKT-1015,18,Male,60,61,60,Free/Reduced
JKT-0555,17,Male,80,16,93,Free/Reduced
JKT-3860,15,Female,68,37,7,Standard
JKT-8418,17,Female,10,73,82,Free/Reduced
JKT-5691,18,Female,68,29,50,Standard
JKT-9515,16,Male,85,68,18,Free/Reduced
JKT-1502,16,Male,76,14,60,Free/Reduced
JKT-9328,18,Female,52,85,42,Standard
JKT-9381,15,Female,99,67,94,Standard
JKT-4201,16,Male,98,69,85,Free/Reduced
JKT-6852,18,Male,74,98,38,Free/Reduced
JKT-2392,15,Male,10,89,24,Free/Reduced
JKT-8925,17,Female,70,31,98,Standard
JKT-4436,18,Female,61,71,88,Free/Reduced
JKT-9273,15,Male,10,67,49,Free/Reduced
JKT-8551,15,Male,80,42,49,Standard
JKT-9918,15,Male,75,95,66,Free/Reduced
JKT-8918,17,Male,20,50,67,Standard
JKT-1181,18,Female,31,45,100,Standard
JKT-9901,16,Female,100,100,0,Standard
JKT-0146,15,Female,32,95,59,Free/Reduced
JKT-1382,15,Male,26,87,74,Free/Reduced
JKT-1510,16,Male,43,5,62,Standard
JKT-0414,15,Female,54,2,23,Free/Reduced
JKT-8907,17,Male,85,34,95,Free/Reduced
JKT-0190,17,Male,55,65,60,Standard
JKT-6257,15,Female,39,38,28,Standard
JKT-8611,17,Male,93,33,45,Free/Reduced
JKT-8810,17,Male,98,30,34,Free/Reduced
JKT-0590,15,Female,30,5,58,Free/Reduced
JKT-0298,16,Female,53,24,11,Standard
JKT-8890,17,Female,71,90,96,Standard
JKT-5943,15,Female,75,51,64,Free/Reduced
JKT-9562,18,Female,24,25,9,Standard
JKT-0489,17,Female,4,41,35,Free/Reduced
JKT-1050,17,Female,29,7,76,Free/Reduced
JKT-2637,16,Female,83,8,11,Free/Reduced
JKT-2215,17,Female,61,94,72,Free/Reduced
JKT-9778,18,Male,11,65,49,Free/Reduced
JKT-7277,18,Female,57,82,68,Free/Reduced
JKT-4532,17,Female,88,52,74,Free/Reduced
JKT-8215,17,Female,37,33,21,Standard
JKT-3208,17,Female,70,36,32,Standard
JKT-0598,15,Male,48,92,56,Free/Reduced
JKT-4428,16,Male,65,83,88,Standard
JKT-0912,16,Male,21,72,25,Free/Reduced
JKT-5023,15,Female,24,4,78,Free/Reduced
JKT-4431,17,Male,79,99,66,Free/Reduced
JKT-1704,15,Male,96,97,39,Free/Reduced
JKT-8076,18,Male,14,86,14,Free/Reduced
JKT-2849,15,Male,72,34,32,Free/Reduced
JKT-1334,15,Male,30,11,28,Standard
JKT-6857,15,Male,23,70,79,Free/Reduced
JKT-9407,15,Female,92,49,84,Standard
JKT-6778,16,Female,79,43,57,Free/Reduced
JKT-6980,17,Female,97,74,61,Free/Reduced
JKT-1829,16,Female,6,15,53,Free/Reduced
JKT-5319,17,Female,88,37,13,Standard
JKT-7555,15,Male,40,59,35,Free/Reduced
JKT-8204,15,Male,71,9,81,Free/Reduced
JKT-0616,17,Male,74,6,76,Free/Reduced
JKT-0215,18,Male,2,35,47,Free/Reduced
JKT-3578,18,Female,65,31,16,Free/Reduced
JKT-8362,18,Female,91,52,77,Standard
JKT-5272,16,Male,97,80,35,Free/Reduced
JKT-6023,18,Male,82,52,59,Free/Reduced
JKT-8007,16,Female,98,76,20,Standard
JKT-0718,16,Male,24,24,66,Free/Reduced
JKT-1389,17,Female,6,29,8,Standard
JKT-3436,15,Male,60,82,79,Standard
JKT-8757,16,Male,48,42,72,Standard
JKT-2861,16,Female,14,81,44,Standard
JKT-7858,17,Female,48,39,72,Free/Reduced
JKT-6787,16,Female,90,18,11,Standard
JKT-6296,17,Male,5,6,77,Free/Reduced
JKT-4300,16,Female,61,34,48,Standard
JKT-2262,18,Female,42,61,19,Standard
JKT-3643,15,Female,20,11,46,Free/Reduced
JKT-5603,18,Male,85,4,2,Standard
JKT-9990,16,Male,46,67,21,Free/Reduced
JKT-9074,15,Male,51,96,58,Standard
JKT-0256,17,Female,23,37,66,Free/Reduced
JKT-5313,15,Female,76,43,89,Standard
JKT-2406,16,Female,30,51,11,Free/Reduced
JKT-2060,16,Female,65,49,53,Free/Reduced
JKT-4590,15,Male,4,64,42,Standard
JKT-7276,18,Female,17,74,29,Standard
JKT-4554,16,Male,7,75,68,Free/Reduced
JKT-0902,16,Male,11,60,78,Free/Reduced
JKT-0545,16,Male,19,24,4,Free/Reduced
JKT-6171,16,Male,80,67,4,Free/Reduced
JKT-0687,16,Male,87,39,65,Free/Reduced
JKT-2036,18,Female,95,65,50,Free/Reduced
JKT-2719,18,Female,23,26,42,Free/Reduced
JKT-4476,18,Male,23,17,82,Free/Reduced
JKT-7342,18,Female,45,24,35,Free/Reduced
JKT-6883,17,Male,15,75,92,Standard
JKT-1293,18,Male,41,61,16,Standard
JKT-8902,17,Female,31,64,48,Free/Reduced
JKT-1232,17,Female,25,50,42,Free/Reduced
JKT-1544,16,Female,4,31,22,Free/Reduced
JKT-7773,18,Female,13,56,8,Free/Reduced
JKT-2604,16,Male,72,38,93,Free/Reduced
JKT-6501,18,Female,70,75,99,Standard
JKT-0734,16,Male,47,39,75,Free/Reduced
JKT-3068,15,Female,88,42,14,Standard
