,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
27,40,blue-collar,married,basic.9y,no,yes,no,cellular,jun,wed,133.0,3,3,2,success,no
28,39,admin.,married,university.degree,unknown,yes,no,cellular,aug,thu,368.0,1,999,0,nonexistent,no
29,45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,121.0,1,999,0,nonexistent,no
30,27,technician,single,unknown,no,no,no,cellular,oct,tue,404.0,1,999,0,nonexistent,no
31,57,admin.,married,professional.course,no,unknown,unknown,cellular,jul,mon,127.0,6,999,0,nonexistent,no
32,25,admin.,single,university.degree,no,yes,no,cellular,oct,mon,123.0,1,999,0,nonexistent,no
33,41,entrepreneur,married,university.degree,no,yes,yes,telephone,jul,tue,381.0,4,999,0,nonexistent,no
34,39,technician,married,high.school,no,no,no,cellular,nov,fri,749.0,2,999,0,nonexistent,yes
35,51,technician,married,basic.6y,no,yes,no,cellular,jul,tue,166.0,2,999,0,nonexistent,no
36,61,management,married,professional.course,no,no,no,cellular,sep,tue,380.0,1,999,0,nonexistent,no
37,53,retired,married,basic.9y,no,yes,yes,cellular,jul,thu,58.0,2,999,0,nonexistent,no
38,35,technician,married,professional.course,no,no,no,cellular,may,wed,66.0,2,999,0,nonexistent,no
39,58,management,married,university.degree,no,no,no,cellular,aug,mon,164.0,2,999,0,nonexistent,no
40,38,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,mon,72.0,3,999,0,nonexistent,no
41,48,admin.,divorced,university.degree,no,yes,no,cellular,jul,thu,294.0,4,999,0,nonexistent,no
42,43,technician,single,professional.course,unknown,yes,no,telephone,jul,wed,39.0,7,999,0,nonexistent,no
43,26,admin.,single,university.degree,no,no,no,cellular,nov,fri,528.0,3,999,0,nonexistent,yes
44,55,management,married,basic.6y,unknown,no,yes,cellular,may,fri,87.0,1,999,0,nonexistent,no
45,25,technician,single,university.degree,no,no,yes,cellular,nov,wed,79.0,4,999,0,nonexistent,no
46,25,blue-collar,married,basic.9y,no,no,no,cellular,may,wed,201.0,3,999,0,nonexistent,no
47,55,unemployed,married,basic.4y,unknown,yes,yes,telephone,jun,fri,95.0,2,999,0,nonexistent,no
48,38,management,married,university.degree,no,yes,no,cellular,may,wed,187.0,2,2,1,success,yes
49,64,admin.,married,university.degree,no,no,yes,telephone,apr,thu,766.0,3,2,1,success,yes
50,37,blue-collar,married,basic.6y,unknown,yes,no,telephone,jul,thu,95.0,1,999,0,nonexistent,no
51,31,blue-collar,single,high.school,no,yes,no,cellular,jul,tue,162.0,3,999,0,nonexistent,no
52,32,blue-collar,single,high.school,no,no,no,cellular,jun,mon,197.0,1,999,1,failure,no
53,43,blue-collar,married,basic.6y,unknown,yes,no,cellular,apr,mon,353.0,4,999,0,nonexistent,no
54,25,admin.,single,high.school,unknown,no,no,cellular,jul,mon,252.0,1,999,0,nonexistent,no
55,43,admin.,married,professional.course,no,yes,no,telephone,jun,thu,193.0,2,999,0,nonexistent,no
56,56,management,married,university.degree,no,no,no,cellular,nov,wed,98.0,1,999,0,nonexistent,no
57,30,admin.,divorced,university.degree,no,no,no,cellular,nov,tue,453.0,1,999,0,nonexistent,yes
58,46,services,married,basic.9y,no,no,no,cellular,jul,tue,630.0,2,999,0,nonexistent,no
59,58,self-employed,married,basic.6y,unknown,yes,no,cellular,aug,thu,157.0,5,999,0,nonexistent,no
60,41,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,tue,13.0,13,999,0,nonexistent,no
61,40,management,married,university.degree,no,no,no,cellular,jul,tue,88.0,2,999,0,nonexistent,no
62,26,student,single,university.degree,no,no,yes,cellular,may,mon,90.0,2,999,0,nonexistent,no
63,49,technician,married,professional.course,unknown,unknown,unknown,telephone,may,wed,865.0,2,999,0,nonexistent,no
64,34,admin.,single,high.school,no,no,yes,telephone,may,fri,74.0,5,999,0,nonexistent,no
65,32,admin.,married,high.school,no,no,no,telephone,may,fri,129.0,1,999,0,nonexistent,no
66,30,admin.,married,high.school,no,unknown,unknown,cellular,nov,mon,104.0,1,999,1,failure,no
67,30,management,divorced,university.degree,no,no,yes,telephone,may,fri,164.0,4,999,0,nonexistent,no
68,21,student,single,high.school,no,no,no,cellular,oct,tue,362.0,1,999,0,nonexistent,yes
69,37,admin.,married,university.degree,no,no,no,cellular,jun,wed,167.0,1,999,0,nonexistent,no
70,45,blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,230.0,13,999,0,nonexistent,no
71,55,admin.,married,high.school,no,no,yes,telephone,may,thu,134.0,4,999,0,nonexistent,no
72,35,technician,married,professional.course,no,no,no,cellular,aug,mon,80.0,1,999,0,nonexistent,no
73,35,admin.,married,high.school,no,no,no,telephone,jun,wed,113.0,2,999,0,nonexistent,no
74,33,admin.,married,university.degree,no,no,no,cellular,nov,tue,843.0,1,999,0,nonexistent,yes
75,44,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,472.0,1,999,0,nonexistent,no
76,42,technician,married,professional.course,no,no,no,telephone,aug,mon,79.0,1,999,0,nonexistent,no
77,31,admin.,divorced,high.school,no,no,no,telephone,may,mon,488.0,3,999,0,nonexistent,no
78,42,services,married,professional.course,no,yes,no,telephone,may,fri,149.0,1,999,0,nonexistent,no
79,52,blue-collar,divorced,basic.9y,no,no,no,cellular,jul,wed,630.0,4,999,0,nonexistent,no
80,37,admin.,married,university.degree,no,no,no,cellular,aug,tue,85.0,2,999,0,nonexistent,no
81,43,admin.,single,high.school,no,yes,no,cellular,jul,thu,66.0,1,999,0,nonexistent,no
82,46,admin.,married,high.school,no,yes,no,cellular,aug,tue,252.0,3,999,0,nonexistent,no
83,68,management,married,basic.9y,no,yes,no,cellular,dec,thu,97.0,1,999,2,failure,no
84,28,admin.,single,university.degree,no,no,no,cellular,jun,mon,114.0,1,999,0,nonexistent,no
85,26,admin.,single,high.school,no,no,no,cellular,jul,fri,1310.0,2,999,0,nonexistent,yes
86,27,admin.,single,university.degree,no,yes,no,cellular,may,thu,1543.0,4,999,0,nonexistent,yes
87,33,entrepreneur,married,university.degree,unknown,yes,no,cellular,may,wed,585.0,2,999,1,failure,no
88,35,technician,married,professional.course,no,yes,no,cellular,aug,mon,132.0,4,999,0,nonexistent,no
89,51,admin.,married,high.school,no,no,no,telephone,jun,fri,22.0,12,999,0,nonexistent,no
90,55,management,married,basic.9y,no,yes,no,cellular,jul,wed,90.0,1,999,0,nonexistent,no
91,49,technician,married,university.degree,no,yes,no,cellular,aug,wed,552.0,2,999,0,nonexistent,no
92,41,admin.,single,professional.course,no,no,no,cellular,aug,mon,139.0,6,999,0,nonexistent,no
93,55,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,thu,190.0,6,999,0,nonexistent,no
94,41,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,233.0,2,999,0,nonexistent,no
95,49,technician,married,professional.course,unknown,unknown,unknown,cellular,aug,fri,254.0,2,999,0,nonexistent,no
96,32,blue-collar,single,basic.9y,no,no,no,cellular,may,wed,253.0,3,999,0,nonexistent,no
97,45,admin.,single,university.degree,no,no,no,cellular,aug,thu,505.0,1,999,0,nonexistent,yes
98,57,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,164.0,2,999,0,nonexistent,no
99,29,services,single,high.school,no,no,no,cellular,nov,thu,91.0,1,999,0,nonexistent,no
100,29,services,divorced,high.school,no,no,no,telephone,may,wed,282.0,1,999,0,nonexistent,no
101,32,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,71.0,2,999,0,nonexistent,no
102,50,management,married,university.degree,unknown,no,no,cellular,jul,thu,118.0,1,999,0,nonexistent,no
103,42,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,163.0,2,999,0,nonexistent,no
104,53,technician,married,unknown,no,no,no,telephone,jun,thu,40.0,1,999,0,nonexistent,no
105,28,admin.,married,university.degree,no,no,no,cellular,apr,thu,115.0,2,999,1,failure,no
106,48,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,wed,164.0,5,999,0,nonexistent,no
107,30,technician,single,professional.course,no,no,no,cellular,aug,fri,153.0,5,999,0,nonexistent,no
108,24,services,single,high.school,no,yes,no,telephone,may,thu,70.0,7,999,0,nonexistent,no
109,47,technician,married,professional.course,no,no,no,telephone,jun,tue,19.0,20,999,0,nonexistent,no
110,40,blue-collar,married,basic.9y,no,no,yes,telephone,jul,tue,1135.0,2,999,0,nonexistent,yes
111,29,technician,single,university.degree,no,no,no,cellular,may,mon,68.0,2,999,0,nonexistent,no
112,38,admin.,married,high.school,no,yes,no,cellular,nov,tue,192.0,2,999,0,nonexistent,no
113,38,blue-collar,married,basic.9y,unknown,unknown,unknown,cellular,jul,tue,319.0,4,999,0,nonexistent,no
114,30,technician,single,professional.course,no,yes,no,telephone,may,mon,220.0,3,999,0,nonexistent,no
115,33,admin.,single,university.degree,no,yes,yes,telephone,jun,wed,238.0,1,999,0,nonexistent,no
116,31,admin.,married,university.degree,no,no,no,telephone,jul,wed,238.0,8,999,0,nonexistent,no
117,29,admin.,married,high.school,no,yes,no,cellular,jun,wed,37.0,1,999,1,failure,no
118,44,admin.,married,basic.6y,no,yes,no,cellular,may,mon,170.0,1,999,0,nonexistent,no
119,32,admin.,single,professional.course,no,yes,no,cellular,mar,tue,159.0,2,999,0,nonexistent,no
120,45,management,divorced,university.degree,no,no,no,telephone,jun,mon,572.0,4,999,0,nonexistent,no
121,36,technician,married,high.school,no,yes,no,telephone,nov,mon,206.0,1,999,0,nonexistent,no
122,36,unemployed,divorced,high.school,no,no,yes,cellular,nov,mon,57.0,1,999,0,nonexistent,no
123,38,admin.,married,university.degree,no,yes,no,cellular,oct,wed,90.0,1,999,0,nonexistent,no
124,50,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,152.0,5,999,0,nonexistent,no
125,46,admin.,married,basic.6y,unknown,yes,no,cellular,may,mon,275.0,2,999,0,nonexistent,no
126,30,blue-collar,single,basic.4y,unknown,no,no,telephone,may,fri,130.0,1,999,0,nonexistent,no
127,54,management,married,university.degree,no,yes,yes,cellular,may,tue,198.0,1,999,1,failure,no
128,49,technician,married,basic.4y,no,yes,no,cellular,jul,thu,197.0,1,999,0,nonexistent,no
129,40,technician,married,basic.4y,no,no,yes,telephone,may,tue,195.0,1,999,0,nonexistent,no
130,42,admin.,married,basic.6y,no,no,no,telephone,may,tue,155.0,2,999,0,nonexistent,no
131,26,student,single,unknown,unknown,no,no,telephone,may,fri,277.0,5,999,0,nonexistent,no
132,45,housemaid,single,basic.4y,no,no,no,telephone,sep,mon,569.0,4,999,0,nonexistent,yes
133,36,blue-collar,married,high.school,no,yes,no,cellular,nov,thu,379.0,2,999,0,nonexistent,no
134,24,technician,married,university.degree,no,yes,yes,cellular,sep,tue,89.0,2,3,1,success,yes
135,57,blue-collar,married,basic.4y,no,no,yes,cellular,jul,wed,471.0,2,999,0,nonexistent,yes
136,52,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,186.0,6,999,0,nonexistent,no
137,43,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri,42.0,8,999,0,nonexistent,no
138,26,housemaid,married,basic.4y,no,no,no,cellular,jul,thu,62.0,1,999,0,nonexistent,no
139,39,blue-collar,married,basic.9y,unknown,no,yes,cellular,jul,mon,51.0,1,999,0,nonexistent,no
140,38,services,married,high.school,no,yes,no,telephone,may,tue,392.0,3,999,0,nonexistent,no
141,33,services,married,high.school,no,yes,no,cellular,may,fri,88.0,1,999,0,nonexistent,no
142,38,admin.,single,university.degree,no,no,no,cellular,may,thu,219.0,2,999,0,nonexistent,no
143,60,entrepreneur,married,basic.4y,no,no,yes,telephone,may,wed,141.0,2,999,0,nonexistent,no
144,46,admin.,married,basic.9y,no,yes,yes,cellular,aug,tue,160.0,4,999,0,nonexistent,no
145,35,services,single,high.school,no,yes,no,telephone,mar,tue,187.0,3,999,0,nonexistent,yes
146,33,entrepreneur,single,university.degree,no,yes,no,cellular,may,mon,9.0,3,999,1,failure,no
147,51,management,divorced,university.degree,no,yes,no,telephone,jul,wed,219.0,2,999,0,nonexistent,no
148,41,technician,married,basic.9y,no,yes,no,telephone,may,wed,210.0,2,999,0,nonexistent,no
149,51,services,divorced,unknown,unknown,yes,no,telephone,jun,fri,16.0,3,999,0,nonexistent,no
150,25,admin.,single,high.school,no,no,no,cellular,jun,mon,95.0,1,999,0,nonexistent,no
151,26,services,single,high.school,no,yes,no,cellular,jul,tue,98.0,1,999,0,nonexistent,no
152,39,admin.,single,university.degree,unknown,no,no,telephone,may,thu,391.0,2,999,0,nonexistent,no
153,55,management,married,professional.course,no,yes,no,cellular,nov,wed,223.0,2,999,0,nonexistent,no
154,40,technician,married,professional.course,no,no,no,cellular,aug,tue,156.0,1,999,0,nonexistent,no
155,56,management,married,university.degree,no,yes,no,cellular,nov,wed,286.0,1,999,0,nonexistent,no
156,46,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,tue,58.0,3,999,0,nonexistent,no
157,36,admin.,married,high.school,no,no,no,cellular,apr,fri,78.0,2,999,0,nonexistent,no
158,35,admin.,single,professional.course,unknown,yes,no,telephone,may,tue,352.0,4,999,0,nonexistent,no
159,36,unemployed,married,high.school,no,yes,no,telephone,jun,tue,652.0,2,999,0,nonexistent,no
160,41,admin.,single,high.school,no,no,no,cellular,may,mon,722.0,4,999,0,nonexistent,yes
161,29,student,single,university.degree,no,yes,no,cellular,jul,wed,209.0,4,999,0,nonexistent,no
162,31,admin.,married,university.degree,no,yes,yes,cellular,aug,thu,12.0,5,999,0,nonexistent,no
163,48,admin.,divorced,high.school,no,yes,no,telephone,may,wed,34.0,1,999,0,nonexistent,no
164,55,management,married,university.degree,no,yes,yes,cellular,aug,tue,384.0,4,999,0,nonexistent,no
165,56,admin.,divorced,basic.6y,no,no,yes,cellular,jul,thu,174.0,8,999,0,nonexistent,no
166,56,services,single,high.school,no,yes,yes,cellular,nov,fri,12.0,4,999,0,nonexistent,no
167,42,admin.,divorced,high.school,no,yes,yes,cellular,apr,fri,57.0,1,999,0,nonexistent,no
168,27,self-employed,single,university.degree,no,yes,yes,cellular,may,thu,73.0,1,999,1,failure,no
169,31,admin.,married,basic.9y,no,yes,no,cellular,jul,mon,196.0,3,999,0,nonexistent,no
170,42,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,wed,20.0,11,999,0,nonexistent,no
171,59,technician,married,professional.course,no,no,yes,cellular,aug,tue,138.0,2,999,0,nonexistent,no
172,39,management,married,university.degree,no,no,no,cellular,nov,thu,73.0,1,999,0,nonexistent,no
173,36,technician,divorced,university.degree,unknown,yes,no,telephone,may,tue,147.0,2,999,0,nonexistent,no
174,31,services,single,high.school,no,yes,no,cellular,may,wed,152.0,1,999,1,failure,no
175,30,blue-collar,married,basic.9y,no,no,no,cellular,jul,tue,189.0,1,999,0,nonexistent,no
176,30,technician,single,professional.course,no,yes,no,cellular,aug,mon,191.0,1,999,0,nonexistent,no
177,53,blue-collar,married,professional.course,no,yes,no,cellular,nov,mon,242.0,3,999,1,failure,no
178,69,retired,married,high.school,no,no,no,cellular,sep,fri,240.0,1,999,0,nonexistent,no
179,38,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,thu,500.0,1,999,0,nonexistent,yes
180,49,blue-collar,married,basic.9y,unknown,yes,no,cellular,nov,wed,52.0,1,999,1,failure,no
181,34,technician,married,professional.course,no,yes,no,telephone,sep,mon,157.0,5,999,0,nonexistent,no
182,44,self-employed,single,professional.course,no,yes,no,cellular,may,mon,922.0,4,999,0,nonexistent,yes
183,60,blue-collar,married,basic.4y,unknown,yes,no,cellular,apr,mon,18.0,4,999,0,nonexistent,no
184,47,services,married,high.school,unknown,no,no,telephone,jun,wed,311.0,1,999,0,nonexistent,no
185,27,admin.,single,high.school,no,yes,no,cellular,jul,mon,112.0,1,999,0,nonexistent,no
186,31,services,married,high.school,no,no,no,telephone,may,wed,185.0,6,999,0,nonexistent,no
187,55,technician,unknown,unknown,unknown,no,no,telephone,jun,thu,667.0,3,999,0,nonexistent,no
188,39,technician,married,professional.course,no,no,no,cellular,aug,wed,85.0,14,999,0,nonexistent,no
189,33,admin.,divorced,high.school,no,no,no,cellular,apr,thu,148.0,1,999,0,nonexistent,no
190,32,housemaid,single,university.degree,unknown,yes,no,cellular,jul,tue,71.0,4,999,0,nonexistent,no
191,34,admin.,married,university.degree,no,no,no,cellular,may,wed,329.0,1,999,0,nonexistent,no
192,33,services,divorced,high.school,no,no,no,cellular,may,tue,262.0,2,999,0,nonexistent,no
193,45,blue-collar,divorced,basic.4y,no,yes,no,cellular,jul,wed,112.0,1,999,0,nonexistent,no
194,46,admin.,married,high.school,unknown,no,no,cellular,nov,mon,76.0,3,999,0,nonexistent,no
195,27,admin.,married,high.school,no,yes,no,cellular,may,wed,175.0,1,999,0,nonexistent,no
196,47,blue-collar,married,basic.9y,unknown,yes,yes,cellular,aug,thu,84.0,4,999,0,nonexistent,no
197,49,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,190.0,1,999,0,nonexistent,no
198,32,admin.,single,university.degree,no,yes,no,cellular,jul,thu,117.0,1,999,0,nonexistent,no
199,48,admin.,divorced,university.degree,no,no,no,cellular,aug,thu,544.0,1,999,0,nonexistent,yes
200,47,blue-collar,married,basic.4y,no,no,yes,telephone,may,thu,199.0,1,999,0,nonexistent,no
201,56,technician,divorced,university.degree,unknown,no,no,cellular,jul,thu,59.0,12,999,0,nonexistent,no
202,35,admin.,single,high.school,no,yes,yes,telephone,may,tue,352.0,2,999,1,failure,no
203,30,technician,married,professional.course,no,no,yes,telephone,jun,mon,169.0,1,999,0,nonexistent,no
204,40,services,married,high.school,no,no,no,cellular,may,tue,74.0,8,999,1,failure,no
205,58,blue-collar,single,basic.4y,unknown,no,no,cellular,may,tue,304.0,2,999,1,failure,no
206,38,technician,single,high.school,no,yes,no,telephone,may,mon,272.0,6,999,0,nonexistent,no
207,56,technician,married,professional.course,unknown,no,no,telephone,may,tue,37.0,1,999,0,nonexistent,no
208,49,technician,married,professional.course,no,yes,no,cellular,jul,fri,190.0,4,999,0,nonexistent,no
209,42,technician,divorced,basic.9y,no,no,no,telephone,may,thu,192.0,1,999,0,nonexistent,no
210,30,admin.,single,university.degree,no,yes,no,cellular,nov,thu,513.0,2,999,0,nonexistent,no
211,52,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,140.0,3,999,0,nonexistent,no
212,43,entrepreneur,married,high.school,no,no,yes,telephone,may,mon,127.0,2,999,0,nonexistent,no
213,51,self-employed,married,basic.4y,no,no,no,cellular,nov,mon,189.0,1,999,0,nonexistent,no
214,49,management,married,university.degree,no,yes,no,telephone,jul,fri,150.0,2,999,0,nonexistent,no
215,23,management,single,university.degree,no,yes,no,cellular,apr,tue,56.0,2,999,0,nonexistent,no
216,35,technician,married,university.degree,unknown,no,no,telephone,may,thu,215.0,1,999,0,nonexistent,no
217,32,admin.,married,university.degree,no,no,no,telephone,may,fri,389.0,4,999,1,failure,no
218,49,management,married,high.school,no,no,no,telephone,jun,fri,9.0,13,999,0,nonexistent,no
219,39,admin.,married,high.school,no,yes,no,cellular,apr,fri,479.0,2,999,0,nonexistent,no
220,41,blue-collar,married,basic.4y,unknown,yes,no,telephone,jul,tue,471.0,3,999,0,nonexistent,no
221,36,services,married,basic.9y,no,yes,no,cellular,aug,fri,215.0,1,999,1,failure,yes
222,49,admin.,married,university.degree,no,no,no,cellular,aug,tue,958.0,5,999,0,nonexistent,yes
223,34,services,divorced,high.school,no,yes,yes,cellular,may,fri,562.0,2,999,0,nonexistent,yes
224,62,technician,married,professional.course,no,yes,no,cellular,may,fri,181.0,2,999,1,failure,no
225,40,services,married,basic.6y,no,yes,no,cellular,jul,mon,137.0,3,999,0,nonexistent,no
226,36,self-employed,married,university.degree,no,no,no,cellular,may,mon,128.0,1,999,0,nonexistent,no
227,32,blue-collar,married,basic.6y,no,no,no,cellular,nov,thu,322.0,4,999,0,nonexistent,no
228,27,admin.,married,university.degree,no,unknown,unknown,cellular,jul,fri,352.0,1,999,0,nonexistent,no
229,26,admin.,married,high.school,no,yes,yes,cellular,oct,mon,183.0,2,999,0,nonexistent,no
230,35,admin.,single,high.school,no,yes,yes,telephone,may,mon,19.0,1,999,0,nonexistent,no
231,40,blue-collar,married,basic.9y,no,yes,no,telephone,jul,tue,428.0,2,999,0,nonexistent,no
232,52,management,divorced,high.school,no,unknown,unknown,telephone,may,mon,259.0,3,999,0,nonexistent,no
233,28,services,single,university.degree,no,yes,no,cellular,sep,mon,274.0,1,999,0,nonexistent,no
234,45,admin.,single,university.degree,no,yes,no,cellular,jun,thu,207.0,1,999,0,nonexistent,yes
235,48,blue-collar,married,basic.6y,no,yes,no,cellular,jul,wed,79.0,1,999,0,nonexistent,no
236,44,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,281.0,1,999,0,nonexistent,no
237,34,admin.,single,high.school,no,no,no,telephone,may,wed,194.0,3,999,0,nonexistent,no
238,41,housemaid,married,basic.9y,unknown,yes,no,telephone,may,tue,129.0,2,999,0,nonexistent,no
239,31,technician,single,professional.course,no,yes,no,cellular,aug,fri,91.0,2,999,0,nonexistent,no
240,34,admin.,single,university.degree,no,no,no,cellular,aug,mon,177.0,2,999,0,nonexistent,no
241,52,management,divorced,university.degree,no,no,no,telephone,jun,thu,167.0,1,999,0,nonexistent,no
242,30,services,single,high.school,no,yes,no,cellular,sep,thu,405.0,1,999,3,failure,no
243,55,retired,divorced,high.school,no,no,no,telephone,jun,thu,410.0,16,999,0,nonexistent,no
244,47,blue-collar,married,professional.course,no,no,no,cellular,jul,mon,86.0,2,999,0,nonexistent,no
245,29,admin.,single,university.degree,no,yes,no,cellular,jul,thu,543.0,1,999,0,nonexistent,no
246,45,entrepreneur,divorced,university.degree,no,no,yes,cellular,jul,thu,216.0,1,999,0,nonexistent,no
247,48,services,married,basic.4y,unknown,yes,no,cellular,nov,mon,218.0,1,999,0,nonexistent,no
248,30,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,115.0,1,999,0,nonexistent,no
249,43,blue-collar,married,basic.9y,unknown,no,no,cellular,may,mon,7.0,6,999,0,nonexistent,no
250,36,technician,single,professional.course,no,no,no,cellular,aug,mon,444.0,3,999,0,nonexistent,yes
251,42,unemployed,married,university.degree,unknown,no,yes,cellular,aug,wed,110.0,1,999,0,nonexistent,no
252,23,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,211.0,1,999,0,nonexistent,no
253,39,blue-collar,married,unknown,no,no,no,cellular,apr,fri,79.0,1,999,0,nonexistent,no
254,35,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,330.0,5,999,0,nonexistent,no
255,45,management,married,high.school,unknown,no,no,cellular,aug,wed,110.0,2,999,0,nonexistent,no
256,32,blue-collar,married,basic.6y,no,unknown,unknown,telephone,jun,tue,31.0,5,999,0,nonexistent,no
257,35,admin.,married,university.degree,no,yes,yes,telephone,jul,mon,216.0,2,999,0,nonexistent,no
258,39,admin.,single,high.school,no,unknown,unknown,cellular,nov,fri,206.0,2,999,0,nonexistent,no
259,31,admin.,single,high.school,no,no,no,cellular,nov,wed,511.0,1,999,0,nonexistent,yes
260,41,blue-collar,married,basic.9y,no,unknown,unknown,cellular,may,thu,50.0,1,999,0,nonexistent,no
261,26,blue-collar,single,high.school,unknown,no,no,telephone,may,fri,96.0,2,999,0,nonexistent,no
262,49,services,married,high.school,unknown,unknown,unknown,telephone,may,mon,71.0,2,999,0,nonexistent,no
263,39,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,225.0,1,999,0,nonexistent,no
264,55,unemployed,married,high.school,no,yes,yes,cellular,jul,fri,730.0,1,999,0,nonexistent,no
265,59,retired,married,professional.course,no,no,no,telephone,may,thu,422.0,3,999,0,nonexistent,no
266,48,blue-collar,married,university.degree,no,no,no,cellular,aug,mon,164.0,1,999,0,nonexistent,no
267,57,management,married,unknown,no,no,no,cellular,jun,mon,112.0,1,999,0,nonexistent,yes
268,33,technician,married,professional.course,no,yes,no,cellular,aug,mon,169.0,1,999,0,nonexistent,no
269,28,services,married,high.school,no,yes,no,cellular,jul,tue,286.0,1,999,0,nonexistent,no
270,43,admin.,single,high.school,no,yes,no,telephone,jul,tue,287.0,1,999,0,nonexistent,no
271,42,admin.,divorced,university.degree,no,no,no,cellular,jul,tue,94.0,1,999,0,nonexistent,no
272,59,retired,married,basic.4y,unknown,no,no,telephone,may,wed,81.0,2,999,0,nonexistent,no
273,27,services,single,high.school,no,yes,no,cellular,jul,thu,211.0,2,999,0,nonexistent,no
274,44,entrepreneur,divorced,university.degree,no,no,no,cellular,apr,thu,404.0,1,999,0,nonexistent,no
275,30,technician,single,university.degree,no,yes,yes,cellular,jul,mon,149.0,7,999,0,nonexistent,no
276,48,housemaid,married,basic.4y,unknown,yes,yes,cellular,jul,tue,72.0,3,999,0,nonexistent,no
277,53,admin.,married,university.degree,no,yes,no,cellular,nov,tue,409.0,2,999,0,nonexistent,yes
